关键词,技术领域,细分方向,产业板块,核心程度得分,匹配类型,上下文要求,来源类型
脑控交互,基础概念与系统范式,脑控与意念交互,系统与平台,5,core,无需上下文,两份附件直接词/资本研报
意念控制,基础概念与系统范式,脑控与意念交互,系统与平台,5,core,无需上下文,两份附件直接词/资本研报
意念操控,基础概念与系统范式,脑控与意念交互,系统与平台,5,core,无需上下文,两份附件直接词/资本研报
意图驱动控制,基础概念与系统范式,脑控与意念交互,系统与平台,5,core,无需上下文,两份附件直接词/资本研报
思维控制外设,基础概念与系统范式,脑控与意念交互,系统与平台,5,core,无需上下文,两份附件直接词/资本研报
神经意图控制,基础概念与系统范式,脑控与意念交互,系统与平台,5,core,无需上下文,两份附件直接词/资本研报
双向脑机接口,基础概念与系统范式,双向与闭环脑机接口,系统与平台,5,core,无需上下文,中国信通院2025/科研机构
闭环脑机接口,基础概念与系统范式,双向与闭环脑机接口,系统与平台,5,core,无需上下文,中国信通院2025/科研机构
闭环神经接口,基础概念与系统范式,双向与闭环脑机接口,系统与平台,5,core,无需上下文,中国信通院2025/科研机构
双向神经接口,基础概念与系统范式,双向与闭环脑机接口,系统与平台,5,core,无需上下文,中国信通院2025/科研机构
脑机闭环,基础概念与系统范式,双向与闭环脑机接口,系统与平台,5,core,无需上下文,中国信通院2025/科研机构
脑机双向交互,基础概念与系统范式,双向与闭环脑机接口,系统与平台,5,core,无需上下文,中国信通院2025/科研机构
感知-调控闭环,基础概念与系统范式,双向与闭环脑机接口,系统与平台,5,core,无需上下文,中国信通院2025/科研机构
感知调控一体化,基础概念与系统范式,双向与闭环脑机接口,系统与平台,5,core,无需上下文,中国信通院2025/科研机构
采集刺激闭环,基础概念与系统范式,双向与闭环脑机接口,系统与平台,5,core,无需上下文,中国信通院2025/科研机构
记录刺激闭环,基础概念与系统范式,双向与闭环脑机接口,系统与平台,5,core,无需上下文,中国信通院2025/科研机构
神经感知反馈闭环,基础概念与系统范式,双向与闭环脑机接口,系统与平台,5,core,无需上下文,中国信通院2025/科研机构
脑脊接口,基础概念与系统范式,脑脊与脑脑接口,系统与平台,5,core,无需上下文,中国信通院/资本研报/科研机构
脑-脊接口,基础概念与系统范式,脑脊与脑脑接口,系统与平台,5,core,无需上下文,中国信通院/资本研报/科研机构
脑脊髓接口,基础概念与系统范式,脑脊与脑脑接口,系统与平台,5,core,无需上下文,中国信通院/资本研报/科研机构
脑-脊髓接口,基础概念与系统范式,脑脊与脑脑接口,系统与平台,5,core,无需上下文,中国信通院/资本研报/科研机构
脑脑接口,基础概念与系统范式,脑脊与脑脑接口,系统与平台,5,core,无需上下文,中国信通院/资本研报/科研机构
脑-脑接口,基础概念与系统范式,脑脊与脑脑接口,系统与平台,5,core,无需上下文,中国信通院/资本研报/科研机构
脑对脑接口,基础概念与系统范式,脑脊与脑脑接口,系统与平台,5,core,无需上下文,中国信通院/资本研报/科研机构
群体脑机接口,基础概念与系统范式,脑脊与脑脑接口,系统与平台,5,core,无需上下文,中国信通院/资本研报/科研机构
多人脑机接口,基础概念与系统范式,脑脊与脑脑接口,系统与平台,5,core,无需上下文,中国信通院/资本研报/科研机构
超脑网络,基础概念与系统范式,脑脊与脑脑接口,系统与平台,5,core,无需上下文,中国信通院/资本研报/科研机构
交互式脑感知,基础概念与系统范式,发展阶段与融合,系统与平台,5,core,无需上下文,中国信通院2025直接词
感知式脑调控,基础概念与系统范式,发展阶段与融合,系统与平台,5,core,无需上下文,中国信通院2025直接词
脑感知与脑调控融合,基础概念与系统范式,发展阶段与融合,系统与平台,5,core,无需上下文,中国信通院2025直接词
脑感知调控融合,基础概念与系统范式,发展阶段与融合,系统与平台,5,core,无需上下文,中国信通院2025直接词
脑机深度协同,基础概念与系统范式,发展阶段与融合,系统与平台,5,core,无需上下文,中国信通院2025直接词
人机智能融合,基础概念与系统范式,发展阶段与融合,系统与平台,5,core,无需上下文,中国信通院2025直接词
碳基硅基融合,基础概念与系统范式,发展阶段与融合,系统与平台,5,core,无需上下文,中国信通院2025直接词
神经信息闭环交互,基础概念与系统范式,发展阶段与融合,系统与平台,5,core,无需上下文,中国信通院2025直接词
侵入式脑机接口,接口植入路线,侵入式,系统与平台,5,core,无需上下文,两份附件/中国信通院/资本研报
有创脑机接口,接口植入路线,侵入式,系统与平台,5,core,无需上下文,两份附件/中国信通院/资本研报
全植入脑机接口,接口植入路线,侵入式,系统与平台,5,core,无需上下文,两份附件/中国信通院/资本研报
完全植入式脑机接口,接口植入路线,侵入式,系统与平台,5,core,无需上下文,两份附件/中国信通院/资本研报
颅内脑机接口,接口植入路线,侵入式,系统与平台,5,core,无需上下文,两份附件/中国信通院/资本研报
皮层内脑机接口,接口植入路线,侵入式,系统与平台,5,core,无需上下文,两份附件/中国信通院/资本研报
脑内植入接口,接口植入路线,侵入式,系统与平台,5,core,无需上下文,两份附件/中国信通院/资本研报
植入式BCI,接口植入路线,侵入式,系统与平台,5,core,无需上下文,两份附件/中国信通院/资本研报
侵入式BCI,接口植入路线,侵入式,系统与平台,5,core,无需上下文,两份附件/中国信通院/资本研报
半侵入式脑机接口,接口植入路线,半侵入与微创,系统与平台,5,core,无需上下文,中国信通院/资本研报
半植入式脑机接口,接口植入路线,半侵入与微创,系统与平台,5,core,无需上下文,中国信通院/资本研报
微创脑机接口,接口植入路线,半侵入与微创,系统与平台,5,core,无需上下文,中国信通院/资本研报
微创植入脑机接口,接口植入路线,半侵入与微创,系统与平台,5,core,无需上下文,中国信通院/资本研报
硬膜外脑机接口,接口植入路线,半侵入与微创,系统与平台,5,core,无需上下文,中国信通院/资本研报
硬膜下脑机接口,接口植入路线,半侵入与微创,系统与平台,5,core,无需上下文,中国信通院/资本研报
皮层表面脑机接口,接口植入路线,半侵入与微创,系统与平台,5,core,无需上下文,中国信通院/资本研报
脑膜表面脑机接口,接口植入路线,半侵入与微创,系统与平台,5,core,无需上下文,中国信通院/资本研报
微创BCI,接口植入路线,半侵入与微创,系统与平台,5,core,无需上下文,中国信通院/资本研报
介入式脑机接口,接口植入路线,介入式与血管内,系统与平台,5,core,无需上下文,中国信通院/资本研报/科研机构
血管介入脑机接口,接口植入路线,介入式与血管内,系统与平台,5,core,无需上下文,中国信通院/资本研报/科研机构
血管内脑机接口,接口植入路线,介入式与血管内,系统与平台,5,core,无需上下文,中国信通院/资本研报/科研机构
脑血管内电极,接口植入路线,介入式与血管内,系统与平台,5,core,无需上下文,中国信通院/资本研报/科研机构
血管内神经接口,接口植入路线,介入式与血管内,系统与平台,5,core,无需上下文,中国信通院/资本研报/科研机构
支架电极脑机接口,接口植入路线,介入式与血管内,系统与平台,5,core,无需上下文,中国信通院/资本研报/科研机构
脑静脉窦电极,接口植入路线,介入式与血管内,系统与平台,5,core,无需上下文,中国信通院/资本研报/科研机构
Stentrode,接口植入路线,介入式与血管内,系统与平台,5,core,无需上下文,中国信通院/资本研报/科研机构
血管内BCI,接口植入路线,介入式与血管内,系统与平台,5,core,无需上下文,中国信通院/资本研报/科研机构
非侵入式脑机接口,接口植入路线,非侵入式与可穿戴,系统与平台,5,core,无需上下文,两份附件/中国信通院/资本研报
非侵入脑机接口,接口植入路线,非侵入式与可穿戴,系统与平台,5,core,无需上下文,两份附件/中国信通院/资本研报
无创脑机接口,接口植入路线,非侵入式与可穿戴,系统与平台,5,core,无需上下文,两份附件/中国信通院/资本研报
无创BCI,接口植入路线,非侵入式与可穿戴,系统与平台,5,core,无需上下文,两份附件/中国信通院/资本研报
非侵入式BCI,接口植入路线,非侵入式与可穿戴,系统与平台,5,core,无需上下文,两份附件/中国信通院/资本研报
可穿戴脑机接口,接口植入路线,非侵入式与可穿戴,系统与平台,5,core,无需上下文,两份附件/中国信通院/资本研报
头戴式脑机接口,接口植入路线,非侵入式与可穿戴,系统与平台,5,core,无需上下文,两份附件/中国信通院/资本研报
耳戴式脑机接口,接口植入路线,非侵入式与可穿戴,系统与平台,5,core,无需上下文,两份附件/中国信通院/资本研报
便携式脑机接口,接口植入路线,非侵入式与可穿戴,系统与平台,5,core,无需上下文,两份附件/中国信通院/资本研报
混合脑机接口,接口植入路线,混合脑机接口,系统与平台,5,core,无需上下文,两份附件/科研机构
多模态脑机接口,接口植入路线,混合脑机接口,系统与平台,5,core,无需上下文,两份附件/科研机构
混合BCI,接口植入路线,混合脑机接口,系统与平台,5,core,无需上下文,两份附件/科研机构
多模态BCI,接口植入路线,混合脑机接口,系统与平台,5,core,无需上下文,两份附件/科研机构
EEG-fNIRS脑机接口,接口植入路线,混合脑机接口,系统与平台,5,core,无需上下文,两份附件/科研机构
EEG-fMRI脑机接口,接口植入路线,混合脑机接口,系统与平台,5,core,无需上下文,两份附件/科研机构
EEG-眼电混合接口,接口植入路线,混合脑机接口,系统与平台,5,core,无需上下文,两份附件/科研机构
EEG-肌电混合接口,接口植入路线,混合脑机接口,系统与平台,5,core,无需上下文,两份附件/科研机构
脑肌接口,接口植入路线,混合脑机接口,系统与平台,5,core,无需上下文,两份附件/科研机构
脑眼接口,接口植入路线,混合脑机接口,系统与平台,5,core,无需上下文,两份附件/科研机构
脑机接口脑电,脑感知-电信号,头皮脑电EEG,采集感知,5,core,无需上下文,两份附件/中国信通院/科研机构
BCI脑电,脑感知-电信号,头皮脑电EEG,采集感知,5,core,无需上下文,两份附件/中国信通院/科研机构
脑电脑机接口,脑感知-电信号,头皮脑电EEG,采集感知,5,core,无需上下文,两份附件/中国信通院/科研机构
EEG脑机接口,脑感知-电信号,头皮脑电EEG,采集感知,5,core,无需上下文,两份附件/中国信通院/科研机构
脑电信号脑控,脑感知-电信号,头皮脑电EEG,采集感知,5,core,无需上下文,两份附件/中国信通院/科研机构
头皮脑电接口,脑感知-电信号,头皮脑电EEG,采集感知,5,core,无需上下文,两份附件/中国信通院/科研机构
高密度脑电接口,脑感知-电信号,头皮脑电EEG,采集感知,5,core,无需上下文,两份附件/中国信通院/科研机构
无线脑电脑机接口,脑感知-电信号,头皮脑电EEG,采集感知,5,core,无需上下文,两份附件/中国信通院/科研机构
移动脑电脑机接口,脑感知-电信号,头皮脑电EEG,采集感知,5,core,无需上下文,两份附件/中国信通院/科研机构
皮层脑电接口,脑感知-电信号,皮层与深部电信号,采集感知,5,core,无需上下文,两份附件/中国信通院/科研机构
ECoG脑机接口,脑感知-电信号,皮层与深部电信号,采集感知,5,core,无需上下文,两份附件/中国信通院/科研机构
颅内脑电脑机接口,脑感知-电信号,皮层与深部电信号,采集感知,5,core,无需上下文,两份附件/中国信通院/科研机构
SEEG脑机接口,脑感知-电信号,皮层与深部电信号,采集感知,5,core,无需上下文,两份附件/中国信通院/科研机构
局部场电位脑机接口,脑感知-电信号,皮层与深部电信号,采集感知,5,core,无需上下文,两份附件/中国信通院/科研机构
LFP脑机接口,脑感知-电信号,皮层与深部电信号,采集感知,5,core,无需上下文,两份附件/中国信通院/科研机构
单神经元脑机接口,脑感知-电信号,皮层与深部电信号,采集感知,5,core,无需上下文,两份附件/中国信通院/科研机构
Spike脑机接口,脑感知-电信号,皮层与深部电信号,采集感知,5,core,无需上下文,两份附件/中国信通院/科研机构
神经元放电脑机接口,脑感知-电信号,皮层与深部电信号,采集感知,5,core,无需上下文,两份附件/中国信通院/科研机构
脑电信号,脑感知-电信号,信号类型通用词,采集感知,4,contextual,需脑机接口上下文，或脑/神经信号与交互解码上下文同时成立,两份附件直接词
头皮脑电,脑感知-电信号,信号类型通用词,采集感知,4,contextual,需脑机接口上下文，或脑/神经信号与交互解码上下文同时成立,两份附件直接词
颅内脑电,脑感知-电信号,信号类型通用词,采集感知,4,contextual,需脑机接口上下文，或脑/神经信号与交互解码上下文同时成立,两份附件直接词
皮层脑电,脑感知-电信号,信号类型通用词,采集感知,4,contextual,需脑机接口上下文，或脑/神经信号与交互解码上下文同时成立,两份附件直接词
脑皮层电位,脑感知-电信号,信号类型通用词,采集感知,4,contextual,需脑机接口上下文，或脑/神经信号与交互解码上下文同时成立,两份附件直接词
局部场电位,脑感知-电信号,信号类型通用词,采集感知,4,contextual,需脑机接口上下文，或脑/神经信号与交互解码上下文同时成立,两份附件直接词
单元放电,脑感知-电信号,信号类型通用词,采集感知,4,contextual,需脑机接口上下文，或脑/神经信号与交互解码上下文同时成立,两份附件直接词
神经元动作电位,脑感知-电信号,信号类型通用词,采集感知,4,contextual,需脑机接口上下文，或脑/神经信号与交互解码上下文同时成立,两份附件直接词
神经尖峰,脑感知-电信号,信号类型通用词,采集感知,4,contextual,需脑机接口上下文，或脑/神经信号与交互解码上下文同时成立,两份附件直接词
诱发电位,脑感知-电信号,信号类型通用词,采集感知,4,contextual,需脑机接口上下文，或脑/神经信号与交互解码上下文同时成立,两份附件直接词
事件相关电位,脑感知-电信号,信号类型通用词,采集感知,4,contextual,需脑机接口上下文，或脑/神经信号与交互解码上下文同时成立,两份附件直接词
脑磁脑机接口,脑感知-磁光超声,脑磁MEG,采集感知,4,core,无需上下文,中国信通院2025/科研机构
MEG脑机接口,脑感知-磁光超声,脑磁MEG,采集感知,4,core,无需上下文,中国信通院2025/科研机构
脑磁图脑机接口,脑感知-磁光超声,脑磁MEG,采集感知,4,core,无需上下文,中国信通院2025/科研机构
SQUID脑磁图,脑感知-磁光超声,脑磁MEG,采集感知,4,core,无需上下文,中国信通院2025/科研机构
超导量子干涉脑磁图,脑感知-磁光超声,脑磁MEG,采集感知,4,core,无需上下文,中国信通院2025/科研机构
原子磁力计脑磁图,脑感知-磁光超声,脑磁MEG,采集感知,4,core,无需上下文,中国信通院2025/科研机构
光泵磁力计脑磁图,脑感知-磁光超声,脑磁MEG,采集感知,4,core,无需上下文,中国信通院2025/科研机构
OPM-MEG,脑感知-磁光超声,脑磁MEG,采集感知,4,core,无需上下文,中国信通院2025/科研机构
可穿戴脑磁图,脑感知-磁光超声,脑磁MEG,采集感知,4,core,无需上下文,中国信通院2025/科研机构
无液氦脑磁图,脑感知-磁光超声,脑磁MEG,采集感知,4,core,无需上下文,中国信通院2025/科研机构
fNIRS脑机接口,脑感知-磁光超声,功能近红外,采集感知,4,core,无需上下文,两份附件/中国信通院
功能近红外脑机接口,脑感知-磁光超声,功能近红外,采集感知,4,core,无需上下文,两份附件/中国信通院
近红外脑机接口,脑感知-磁光超声,功能近红外,采集感知,4,core,无需上下文,两份附件/中国信通院
功能近红外光谱脑机接口,脑感知-磁光超声,功能近红外,采集感知,4,core,无需上下文,两份附件/中国信通院
EEG-fNIRS融合,脑感知-磁光超声,功能近红外,采集感知,4,core,无需上下文,两份附件/中国信通院
近红外脑功能成像接口,脑感知-磁光超声,功能近红外,采集感知,4,core,无需上下文,两份附件/中国信通院
血氧脑机接口,脑感知-磁光超声,功能近红外,采集感知,4,core,无需上下文,两份附件/中国信通院
血红蛋白浓度脑机接口,脑感知-磁光超声,功能近红外,采集感知,4,core,无需上下文,两份附件/中国信通院
fMRI脑机接口,脑感知-磁光超声,功能磁共振,采集感知,4,core,无需上下文,两份附件/科研机构
功能磁共振脑机接口,脑感知-磁光超声,功能磁共振,采集感知,4,core,无需上下文,两份附件/科研机构
实时功能磁共振神经反馈,脑感知-磁光超声,功能磁共振,采集感知,4,core,无需上下文,两份附件/科研机构
rt-fMRI神经反馈,脑感知-磁光超声,功能磁共振,采集感知,4,core,无需上下文,两份附件/科研机构
BOLD脑机接口,脑感知-磁光超声,功能磁共振,采集感知,4,core,无需上下文,两份附件/科研机构
功能磁共振意图解码,脑感知-磁光超声,功能磁共振,采集感知,4,core,无需上下文,两份附件/科研机构
功能超声脑机接口,脑感知-磁光超声,功能超声,采集感知,4,core,无需上下文,中国信通院2025/科研机构
超快功能超声成像,脑感知-磁光超声,功能超声,采集感知,4,core,无需上下文,中国信通院2025/科研机构
fUSI脑机接口,脑感知-磁光超声,功能超声,采集感知,4,core,无需上下文,中国信通院2025/科研机构
功能超声神经成像,脑感知-磁光超声,功能超声,采集感知,4,core,无需上下文,中国信通院2025/科研机构
超声脑信号感知,脑感知-磁光超声,功能超声,采集感知,4,core,无需上下文,中国信通院2025/科研机构
血流动力学脑信号感知,脑感知-磁光超声,功能超声,采集感知,4,core,无需上下文,中国信通院2025/科研机构
微型超声脑接口,脑感知-磁光超声,功能超声,采集感知,4,core,无需上下文,中国信通院2025/科研机构
超声采集调控芯片,脑感知-磁光超声,功能超声,采集感知,4,core,无需上下文,中国信通院2025/科研机构
多模态脑信号采集,脑感知-磁光超声,多模态成像与感知,采集感知,4,core,无需上下文,中国信通院/科研机构
脑电脑磁融合,脑感知-磁光超声,多模态成像与感知,采集感知,4,core,无需上下文,中国信通院/科研机构
脑电近红外融合,脑感知-磁光超声,多模态成像与感知,采集感知,4,core,无需上下文,中国信通院/科研机构
脑电磁共振融合,脑感知-磁光超声,多模态成像与感知,采集感知,4,core,无需上下文,中国信通院/科研机构
电磁光超声脑感知,脑感知-磁光超声,多模态成像与感知,采集感知,4,core,无需上下文,中国信通院/科研机构
多模态神经成像,脑感知-磁光超声,多模态成像与感知,采集感知,4,core,无需上下文,中国信通院/科研机构
同步脑电近红外,脑感知-磁光超声,多模态成像与感知,采集感知,4,core,无需上下文,中国信通院/科研机构
同步EEG-fNIRS,脑感知-磁光超声,多模态成像与感知,采集感知,4,core,无需上下文,中国信通院/科研机构
犹他电极阵列,神经电极与探针,犹他阵列与微针,上游核心器件,4,core,无需上下文,两份附件/中国信通院/FDA
犹他阵列,神经电极与探针,犹他阵列与微针,上游核心器件,4,core,无需上下文,两份附件/中国信通院/FDA
Utah Array,神经电极与探针,犹他阵列与微针,上游核心器件,4,core,无需上下文,两份附件/中国信通院/FDA
皮层内微电极阵列,神经电极与探针,犹他阵列与微针,上游核心器件,4,core,无需上下文,两份附件/中国信通院/FDA
微针神经电极,神经电极与探针,犹他阵列与微针,上游核心器件,4,core,无需上下文,两份附件/中国信通院/FDA
微电极阵列脑机接口,神经电极与探针,犹他阵列与微针,上游核心器件,4,core,无需上下文,两份附件/中国信通院/FDA
三维微电极阵列,神经电极与探针,犹他阵列与微针,上游核心器件,4,core,无需上下文,两份附件/中国信通院/FDA
高密度微电极阵列,神经电极与探针,犹他阵列与微针,上游核心器件,4,core,无需上下文,两份附件/中国信通院/FDA
穿刺式神经电极,神经电极与探针,犹他阵列与微针,上游核心器件,4,core,无需上下文,两份附件/中国信通院/FDA
Neuropixels,神经电极与探针,Neuropixels与神经探针,上游核心器件,4,core,无需上下文,两份附件/科研机构
Neuropixel电极,神经电极与探针,Neuropixels与神经探针,上游核心器件,4,core,无需上下文,两份附件/科研机构
神经像素探针,神经电极与探针,Neuropixels与神经探针,上游核心器件,4,core,无需上下文,两份附件/科研机构
硅基神经探针,神经电极与探针,Neuropixels与神经探针,上游核心器件,4,core,无需上下文,两份附件/科研机构
高密度神经探针,神经电极与探针,Neuropixels与神经探针,上游核心器件,4,core,无需上下文,两份附件/科研机构
多通道神经探针,神经电极与探针,Neuropixels与神经探针,上游核心器件,4,core,无需上下文,两份附件/科研机构
微纳神经探针,神经电极与探针,Neuropixels与神经探针,上游核心器件,4,core,无需上下文,两份附件/科研机构
单神经元记录探针,神经电极与探针,Neuropixels与神经探针,上游核心器件,4,core,无需上下文,两份附件/科研机构
CMOS神经探针,神经电极与探针,Neuropixels与神经探针,上游核心器件,4,core,无需上下文,两份附件/科研机构
脑机柔性电极,神经电极与探针,柔性与超柔性电极,上游核心器件,4,core,无需上下文,中国信通院/资本研报/科研机构
脑机超柔性电极,神经电极与探针,柔性与超柔性电极,上游核心器件,4,core,无需上下文,中国信通院/资本研报/科研机构
柔性微丝电极,神经电极与探针,柔性与超柔性电极,上游核心器件,4,core,无需上下文,中国信通院/资本研报/科研机构
超柔性微丝电极,神经电极与探针,柔性与超柔性电极,上游核心器件,4,core,无需上下文,中国信通院/资本研报/科研机构
神经微丝电极,神经电极与探针,柔性与超柔性电极,上游核心器件,4,core,无需上下文,中国信通院/资本研报/科研机构
柔性神经电极阵列,神经电极与探针,柔性与超柔性电极,上游核心器件,4,core,无需上下文,中国信通院/资本研报/科研机构
超薄神经电极,神经电极与探针,柔性与超柔性电极,上游核心器件,4,core,无需上下文,中国信通院/资本研报/科研机构
网状神经电极,神经电极与探针,柔性与超柔性电极,上游核心器件,4,core,无需上下文,中国信通院/资本研报/科研机构
蛇形神经电极,神经电极与探针,柔性与超柔性电极,上游核心器件,4,core,无需上下文,中国信通院/资本研报/科研机构
可拉伸神经电极,神经电极与探针,柔性与超柔性电极,上游核心器件,4,core,无需上下文,中国信通院/资本研报/科研机构
自适应脑组织电极,神经电极与探针,柔性与超柔性电极,上游核心器件,4,core,无需上下文,中国信通院/资本研报/科研机构
柔性电极,神经电极与探针,通用电极器件词,上游核心器件,4,contextual,需脑机接口上下文，或脑/神经信号与交互解码上下文同时成立,附件报告/中国信通院/上下文补充
超柔性电极,神经电极与探针,通用电极器件词,上游核心器件,4,contextual,需脑机接口上下文，或脑/神经信号与交互解码上下文同时成立,附件报告/中国信通院/上下文补充
微丝电极,神经电极与探针,通用电极器件词,上游核心器件,4,contextual,需脑机接口上下文，或脑/神经信号与交互解码上下文同时成立,附件报告/中国信通院/上下文补充
微电极阵列,神经电极与探针,通用电极器件词,上游核心器件,4,contextual,需脑机接口上下文，或脑/神经信号与交互解码上下文同时成立,附件报告/中国信通院/上下文补充
高密度电极阵列,神经电极与探针,通用电极器件词,上游核心器件,4,contextual,需脑机接口上下文，或脑/神经信号与交互解码上下文同时成立,附件报告/中国信通院/上下文补充
多通道电极阵列,神经电极与探针,通用电极器件词,上游核心器件,4,contextual,需脑机接口上下文，或脑/神经信号与交互解码上下文同时成立,附件报告/中国信通院/上下文补充
植入电极,神经电极与探针,通用电极器件词,上游核心器件,4,contextual,需脑机接口上下文，或脑/神经信号与交互解码上下文同时成立,附件报告/中国信通院/上下文补充
皮层电极,神经电极与探针,通用电极器件词,上游核心器件,4,contextual,需脑机接口上下文，或脑/神经信号与交互解码上下文同时成立,附件报告/中国信通院/上下文补充
深部电极,神经电极与探针,通用电极器件词,上游核心器件,4,contextual,需脑机接口上下文，或脑/神经信号与交互解码上下文同时成立,附件报告/中国信通院/上下文补充
神经探针,神经电极与探针,通用电极器件词,上游核心器件,4,contextual,需脑机接口上下文，或脑/神经信号与交互解码上下文同时成立,附件报告/中国信通院/上下文补充
ECoG电极阵列,神经电极与探针,皮层表面电极,上游核心器件,4,core,无需上下文,两份附件/中国信通院
皮层脑电电极,神经电极与探针,皮层表面电极,上游核心器件,4,core,无需上下文,两份附件/中国信通院
皮层表面微电极,神经电极与探针,皮层表面电极,上游核心器件,4,core,无需上下文,两份附件/中国信通院
硬膜下电极阵列,神经电极与探针,皮层表面电极,上游核心器件,4,core,无需上下文,两份附件/中国信通院
硬膜外电极阵列,神经电极与探针,皮层表面电极,上游核心器件,4,core,无需上下文,两份附件/中国信通院
脑膜电极,神经电极与探针,皮层表面电极,上游核心器件,4,core,无需上下文,两份附件/中国信通院
薄膜皮层电极,神经电极与探针,皮层表面电极,上游核心器件,4,core,无需上下文,两份附件/中国信通院
高密度ECoG,神经电极与探针,皮层表面电极,上游核心器件,4,core,无需上下文,两份附件/中国信通院
微ECoG,神经电极与探针,皮层表面电极,上游核心器件,4,core,无需上下文,两份附件/中国信通院
μECoG,神经电极与探针,皮层表面电极,上游核心器件,4,core,无需上下文,两份附件/中国信通院
SEEG电极,神经电极与探针,深部与立体脑电电极,上游核心器件,4,contextual,需脑机接口上下文，或脑/神经信号与交互解码上下文同时成立,两份附件/科研机构
