专利名称,专利类型,申请人,申请人类型,申请人地区,申请人城市,公开公告年份,IPC主分类号,摘要文本,主权项内容,被引证次数,year,第一申请人,第一申请人类型,第一申请人地区,第一申请人城市,quantum_score_raw,quantum_score,core_score,matched_terms,matched_core_terms,matched_conditional_terms,matched_supply_terms,matched_application_terms,matched_timefreq_terms,inactive_terms_no_context,negative_terms,main_category,chain_position,category_scores,source_types,relevance,is_quantum_patent,来源文件年份,来源分块
一种量子堡垒机系统及其认证方法,发明授权,浙江神州量子网络科技有限公司,企业,中国,杭州市,2021.0,H04L9/08,本发明公开了一种量子堡垒机系统及其认证方法，该系统包括终端用户、量子堡垒机、量子通信网络服务器资源、量子密钥颁发中心及量子密钥卡，认证方法包括以下步骤：S1所述量子堡垒机管控终端用户访问量子通信网络服务器资源；S2量子密钥颁发中心分别对终端用户和量子堡垒机、量子堡垒机和量子通信网络服务器资源颁发量子随机数密钥对；S3终端用户登录量子堡垒机，通过终端用户和量子堡垒机或者量子堡垒机和量子通信网络服务器资源的对应的量子随机数密钥对来实现相互之间的认证，从而获取相应的访问权限。本发明通过量子随机数发生服务器产生的量子随机数进行认证，能够抵抗量子计算机对非对称算法的攻击。  来源：百度马 克 数据网,"1.一种量子堡垒机系统，其特征在于它包括终端用户、量子堡垒机及量子通信网络服务器资源、量子密钥颁发中心；
所述终端用户包括堡垒机运维用户和服务器运维用户，所述量子通信网络服务器资源为量子通信网络服务站中需要被量子堡垒机监控的所有服务器，所述量子堡垒机管控终端用户访问量子通信网络服务器资源；
量子密钥颁发中心为终端用户和量子堡垒机之间、量子堡垒机和量子通信网络服务器资源中的各服务器之间颁发量子随机数密钥；
量子密钥颁发中心为终端用户和量子堡垒机颁发共享的量子随机数密钥的步骤为：
终端用户到量子密钥颁发中心指定的受理点申请颁发量子随机数密钥，量子密钥颁发中心为终端用户分配一个用户ID并确定用户的角色权限、用户所登录的量子堡垒机ID，然后生成用户指定数量的量子随机数密钥，再将用户信息、量子随机数密钥、加密策略写入量子密钥卡中，并将该量子密钥卡颁发给终端用户；量子密钥颁发中心完成对终端用户颁发量子随机数密钥的同时，将用户信息、量子随机数密钥、加密策略加密为密文数据后颁发给量子堡垒机，量子堡垒机解密密文数据，获得用户信息、量子随机数密钥、加密策略；
量子密钥颁发中心为量子堡垒机和量子通信网络服务器资源中的各服务器颁发共享的量子随机数密钥的步骤为：量子密钥颁发中心对每一个服务器的所有运维账户按照不同权限划分出不同的角色，以量子通信网络服务器资源中各服务器的所有运维账户的角色为单位进行量子随机数密钥对的颁发；
终端用户与堡垒机根据共享的量子随机数密钥进行基于对称密钥及消息认证码的身份认证，认证完成后，量子堡垒机确定终端用户的类型、角色权限，如果该终端用户是堡垒机运维用户，则该终端用户可以根据其角色权限对量子堡垒机进行相应的安全操作；如果该终端用户是服务器运维用户，则量子堡垒机将根据其角色权限确定该服务器运维用户所拥有的量子通信网络服务器资源中各服务器的角色权限，并根据该服务器运维用户所拥有的各服务器角色权限找到与这些服务器的不同角色共享的量子随机数密钥，通过这些量子随机数密钥完成与这些服务器的不同角色间基于对称密钥及消息认证码的身份认证，认证成功后该服务器运维用户获得访问相应的服务器的某些功能的权限；所述量子堡垒机包括安全加密模块、密钥存储模块及认证模块，量子堡垒机中的安全加密模块用于对量子随机数密钥进行加密操作，量子堡垒机中的密钥存储模块用来存储经安全加密模块加密处理后的量子随机数密钥，所述认证模块用于对量子密钥卡和量子堡垒机之间、量子堡垒机和量子通信网络服务器资源的各服务器之间进行相互认证；
所述量子通信网络服务器资源中的各服务器包括安全加密模块、密钥存储模块及认证模块；服务器中的安全加密模块用于对量子随机数密钥进行加密操作，服务器中的密钥存储模块用来存储经安全加密模块加密后的量子随机数密钥，所述认证模块用于量子堡垒机和量子通信网络服务器资源的各服务器之间进行相互认证。",,2021,浙江神州量子网络科技有限公司,企业,中国,杭州市,15,15,15,量子密钥；量子计算；量子计算机；量子通信,量子密钥；量子计算；量子计算机；量子通信,,,,,,,量子通信与安全,量子通信与安全,"{'量子计算': 5, '量子通信与安全': 10}",PDF直接词；PDF直接词/PDF支持扩展,高相关,1,2021,1
一种新型电压域振荡二极管,发明授权,杭州电子科技大学,学校,中国,杭州市,2021.0,H01L29/88,本发明涉及一种新型电压域振荡二极管。本发明包括初始上表面为镓面GaN基底、n+‑qInGaN集电区层、i‑InGaN第一隔离层、i‑InGaN第一势垒层、i‑InGaN量子阱层、i‑GaN第二势垒层、i‑InGaN第二隔离层、n+‑InGaN发射区层、AlN钝化层、集电区金属电极引脚和发射区金属电极引脚。本发明采用GaN基双势垒单量子阱超晶格结构的势垒层极化电场削弱外加电场作用，有效抑制低偏置电压区域带内共振隧穿；利用紧邻集电极势垒的集电区耗尽层作为集电极势垒的辅助势垒，伏安特性在较高偏压区表现为多协调制电流振荡各能级对应电子波函数的共振隧穿与叠加，形成很多个微分负阻区与正电阻区相间排列。。微信公众号马克数据网,"1.一种新型电压域振荡二极管，包括基底、集电区层、第一隔离层、第一势垒层、量子阱层、第二势垒层、第二隔离层、发射区层、钝化层、集电区金属电极引脚和发射区金属电极引脚；其特征在于：所述的基底上表面外延集电区层，集电区层上表面中部外延第一隔离层、第一势垒层、量子阱层、第二势垒层、第二隔离层与发射区层；第一隔离层、第一势垒层、量子阱层、第二势垒层、第二隔离层和发射区层构成共振隧穿二极管的中央量子结构区域；中央量子结构区域上表面为发射区金属电极引脚，中央量子结构区域外侧沉积有钝化层，钝化层外侧为集电区金属电极引脚；基底为初始上表面为镓面的厚度102-103μm的绝缘本征GaN层，集电区层为10-2-100μm厚的n+-InGaN层，第一隔离层为0-101nm厚的i-InGaN层，第一势垒层为1-6CAlGaN厚的i-AlGaN层，量子阱层为1-7CInGaN厚的为i-InGaN层，第二势垒层为1-5C 厚的i-GaN层，第二隔离层为100-101nm厚的i-InGaN层，发射区层为10-2GaN -100μm厚的n+-InGaN层，钝化层为101μm厚的AlN层，CM为材料M的晶格常数，单位nm；
以绝缘本征GaN基底作为器件载体，起到决定器件层外延生长方向、支撑器件层、器件层中器件之间的隔离及辅助工作中的器件散热的作用；在绝缘本征GaN基底上表面外延集电区层；
集电区层起收集与传输渡越第一隔离层的电子流作用，在热学方面则作为第一隔离层与绝缘GaN基底及集电区金属电极引脚之间的热传导媒质；
第一隔离层在器件结构上连接集电区层与第一势垒层，主要为穿过第一势垒层的电子提供通向集电区层的疏运路径、作为集电区层与第一势垒层之间的热传输路径及隔离集电区层中量子能级对第一势垒层两侧量子能级关系的影响、在外加偏压下形成与量子阱层中对应的共振量子能级的作用；
势垒层在结构上隔离第一隔离层与量子阱层，作为第一隔离层与量子阱层之间的纳米级厚度有限高势垒，即第一隔离层与量子阱层之间电子量子共振隧穿的路径；
量子阱层介于第一势垒层与第二势垒层之间，作为纳米级厚度有限深电子势阱提供沿能量纵向量子化的束缚量子态电子能级；
第二势垒层在结构上隔离量子阱层与第二隔离层，作为量子阱层与第二隔离层之间的纳米级厚度有限高势垒，即量子阱层与第二隔离层之间电子量子共振隧穿的路径；
第二隔离层在器件结构上连接势垒层与发射区层，主要疏运来自发射区层的电子，作为第二势垒层与发射区层之间的热传输路径，隔离发射区层中电子的量子能级对第二势垒层两侧束缚量子态能级关系的影响、在外加偏压下形成与量子阱层对应的共振量子能级；
发射区层与发射区金属电极引脚之间形成欧姆接触，连接第二隔离层与发射区金属电极引脚，作为第二隔离层与发射区金属电极引脚之间电子流的低阻通路和热传输路径；
集电区金属电极引脚与集电区之间形成欧姆接触, 连接器件集电区与外部电路；钝化层将器件的表面需要保护部分与外界环境之间隔离开来, 并钝化表面悬挂键。  来自马-克-数-据-官网",,2021,杭州电子科技大学,学校,中国,杭州市,4,2,4,量子态,量子态,,,,,,量子阱,量子基础概念,其他量子相关/待复核,{'量子基础概念': 4},PDF直接词,低相关/待复核,1,2021,1
一种通用量子计算机中央处理器及其操纵方法,发明授权,姜年权,个人,中国,温州市,2021.0,G06N10/00,本发明实施例公开了一种通用量子计算机中央处理器的操纵方法，该方法包括将各量子比特均制备到初始状态；选择当前量子比特耦合模式；根据所选的当前量子比特耦合模式，确定待耦合连通的量子比特，并对待耦合连通的量子比特及其之外的量子比特分别进行相应的外磁通量和门电压调节；选择下一步操作，并根据所选的当前操作，确定对各量子比特的具体操纵。实施本发明，能解决任意两量子比特之间的耦合操作以及多量子比特之间的并行耦合操作，且由一系列耦合操作来实现的量子态操纵及通用量子计算保真度较高。,"1.一种通用量子计算机中央处理器的操纵方法，其特征在于，其在通用量子计算机中央处理器上实现，该通用量子计算机中央处理器通过电容器将各量子比特耦合在一起的方式构造而成，其中，每一个耦合电容器的一端分别与对应的一量子比特相连接，另一端均直接连接于同一点上；
所述方法包括以下步骤：
步骤S1、将各量子比特均制备到初始状态；
步骤S2、选择当前量子比特耦合模式；其中，所述量子比特耦合模式包括任意一对两量子比特间耦合模式、任意一组多量子比特间并行耦合模式、多对两量子比特间并行耦合模式以及多组多量子比特间并行耦合模式；
步骤S3、根据所选的当前量子比特耦合模式，确定待耦合连通的量子比特，并对所述待耦合连通的量子比特及其之外的量子比特分别进行相应的外磁通量和门电压调节；
步骤S4、选择下一步操作，并根据所选的当前操作，确定对各量子比特的具体操纵；其中，所述下一步操作包括：继续下一步耦合操作、进行单量子比特操作、将之前操作所得到的结果进行暂时保存、联合测量一系列操作后所得量子态的结果。",,2021,姜年权,个人,中国,温州市,16,16,14,保真度；量子态；量子比特；量子计算；量子计算机,量子态；量子比特；量子计算；量子计算机,保真度,,,,,,量子计算,量子计算系统,"{'量子计算': 12, '量子基础概念': 4}",PDF直接词；PDF直接词/PDF支持扩展,高相关,1,2021,1
一种通用量子计算机中央处理器的操纵方法,发明授权,温州大学,学校,中国,温州市,2021.0,G06N10/00,本发明实施例公开了一种通用量子计算机中央处理器操纵方法，包括通过调节所有基本单位所含各量子比特的外磁通量及各量子比特的门电压将各量子比特均制备到初始状态，实现各量子比特间耦合都初始为0；选择当前量子比特耦合模式；根据所选的当前量子比特耦合模式，确定待耦合连通的量子比特，并对待耦合连通的量子比特及其之外的量子比特分别进行相应的外磁通量调节；选择下一步操作，并根据所选的当前操作，确定对各量子比特的具体操纵。实施本发明，能解决任意两量子比特之间的耦合操作以及多量子比特之间的并行耦合操作，且耦合得到的量子态保真度较高。,"1.一种通用量子计算机中央处理器操纵方法，其特征在于，其在由一量子比特及其对应相连的耦合电容器为基本单位形成中央处理器的量子计算机上实现，且所有的基本单位均通过其对应的耦合电容器连接于同一点，所述方法包括以下步骤：
步骤S1、通过调节所有基本单位所含各量子比特的外磁通量及各量子比特的门电压将各量子比特均制备到初始状态，实现各量子比特间耦合都初始为0；
步骤S2、选择当前量子比特耦合模式；其中，所述量子比特耦合模式包括任意一对两量子比特间耦合模式、任意一组多量子比特间并行耦合模式、多对两量子比特间并行耦合模式以及多组多量子比特间并行耦合模式；
步骤S3、根据所选的当前量子比特耦合模式，确定待耦合连通的量子比特，并对所述待耦合连通的量子比特分别进行相应的外磁通量调节；
步骤S4、选择下一步操作，并根据所选的当前操作，确定对各量子比特的具体操纵；其中，所述下一步操作包括：继续下一步耦合操作、进行单量子比特操作、联合测量一系列操作后所得量子态的结果。",,2021,温州大学,学校,中国,温州市,16,16,14,保真度；量子态；量子比特；量子计算；量子计算机,量子态；量子比特；量子计算；量子计算机,保真度,,,,,,量子计算,量子计算系统,"{'量子计算': 12, '量子基础概念': 4}",PDF直接词；PDF直接词/PDF支持扩展,高相关,1,2021,1
原子频标频率修正装置及原子频标,发明授权,江汉大学,学校,中国,武汉市,2021.0,H03L7/26,本发明公开了一种原子频标频率修正装置及原子频标，属于原子钟领域。所述装置包括：本地参考源；GPS模块，用于获取GPS信号；接收模块，用于获取本地参考源输出的本地参考信号和原子频标的压控晶振输出的频率信号；分频模块，用于对频率信号进行N分频，得到分频信号；计数模块，用于在分频信号的N1个脉冲时间内对GPS信号中的脉冲个数进行计数，得到N0；以及在分频信号的N2个脉冲时间内对中本地参考信号的脉冲个数进行计数，得到N3；处理模块，用于根据N0和N1计算压控晶振的第一频率值；根据N2和N3计算压控晶振的第二频率值；根据第一频率值、第二频率值和原子频标的设定输出，计算压控修正电压并输出到压控晶振上。,"1.一种原子频标频率修正装置，其特征在于，所述装置包括：
本地参考源，用于提供本地参考信号；
GPS模块，用于获取GPS信号，所述GPS信号为秒脉冲信号；
接收模块，用于获取所述本地参考源输出的本地参考信号和原子频标的压控晶振输出的频率信号；
分频模块，用于对所述频率信号进行N分频，得到分频信号，N为大于1的整数；
计数模块，用于在所述分频信号的N1个脉冲时间内对所述GPS信号中的脉冲个数进行计数，得到所述GPS信号中的脉冲个数N0；以及在所述分频信号的N2个脉冲时间内对所述本地参考信号中的脉冲个数进行计数，得到所述本地参考信号中的脉冲个数N3，N1、N2和N3均大于0；
处理模块，用于采用以下公式计算所述压控晶振的第一频率值：
采用以下公式计算所述压控晶振的第二频率值：
f 为所述压控晶振的第一频率值，f 为所述压控晶振的第二频率值，f 为所述本地参x1 x2 0考信号的频率值；
对所述第一频率值和所述第二频率值进行平均作为当前所述原子频标的输出频率，根据所述输出频率和所述原子频标的设定输出间的差值确定压控修正电压，并输出到压控晶振上。。来源：马 克 数 据 网",,2021,江汉大学,学校,中国,武汉市,3,3,0,原子钟；原子频标,,,,,原子钟；原子频标,原子钟,,量子传感,量子计量/时间频率/PNT候选,{'量子传感': 3},专家补充词,量子计量/PNT候选,1,2021,1
原子频标的温控系统,发明授权,江汉大学,学校,中国,武汉市,2021.0,H03L1/04,本发明公开了一种原子频标的温控系统，属于原子频标技术领域。所述原子频标包括压控晶振、电子线路、物理系统、以及伺服模块；所述压控晶振用于输出原始频率信号；所述电子线路用于对所述原始频率信号进行倍频和混频，产生微波探询信号；所述物理系统用于对所述微波探询信号进行鉴频，产生光检信号；所述伺服模块用于对所述光检信号进行选频放大、方波整形、以及同步鉴相，产生纠偏电压作用于所述压控晶振，以调整所述压控晶振的输出频率；所述温控系统包括：放大电路，用于对所述纠偏电压进行放大，产生温控电压；温度补偿电路，用于在所述温控电压的驱动下，调节所述原子频标的环境温度。本发明可将环境温度调节为工作的适宜温度。,"1.一种原子频标的温控系统，所述原子频标包括压控晶振、电子线路、物理系统、以及伺服模块；所述压控晶振用于输出原始频率信号；所述电子线路用于对所述原始频率信号进行倍频和混频，产生微波探询信号；所述物理系统用于对所述微波探询信号进行鉴频，产生光检信号；所述伺服模块用于对所述光检信号进行选频放大、方波整形、以及同步鉴相，产生纠偏电压作用于所述压控晶振，以调整所述压控晶振的输出频率；
其特征在于，所述温控系统包括：
放大电路，用于对所述纠偏电压进行放大，产生温控电压；
温度补偿电路，用于在所述温控电压的驱动下，调节所述原子频标的环境温度；
所述温度补偿电路包括：
桥式整流电路，用于将所述温控电压调整为正向电压，所述温控电压大于0或小于0，所述正向电压大于0；
第一支路，用于在所述正向电压的驱动下，升高所述原子频标的环境温度；
第二支路，用于在所述正向电压的驱动下，降低所述原子频标的环境温度；
选择器，用于在所述原子频标的环境温度小于所述原子频标的工作温度时，将所述正向电压作用在所述第一支路上；在所述原子频标的环境温度大于所述原子频标的工作温度时，将所述正向电压作用在所述第二支路上，所述选择器包括：
温度传感器，用于测量所述原子频标的环境温度；
比较器，用于将所述原子频标的环境温度与所述原子频标的工作温度进行对比，并根据对比结果输出控制信号；
继电器，用于根据所述控制信号选择将所述正向电压作用在所述第一支路和所述第二支路中的一个上，所述第一支路上设有加热线圈，所述第二支路上设有降温风扇，所述加热线圈和所述降温风扇分别与所述继电器连接。    来自：www.macrodatas.cn",,2021,江汉大学,学校,中国,武汉市,3,3,0,原子频标,,,,,原子频标,,,量子传感,量子计量/时间频率/PNT候选,{'量子传感': 3},专家补充词,量子计量/PNT候选,1,2021,1
一种原子频标的温控系统,发明授权,江汉大学,学校,中国,武汉市,2021.0,H03L1/04,本发明公开了一种原子频标的温控系统，属于原子频标技术领域。原子频标包括压控晶振、电子线路、物理系统、以及伺服模块；压控晶振用于输出原始频率信号；电子线路用于对原始频率信号进行倍频和混频，产生微波探询信号；物理系统用于对微波探询信号进行鉴频，产生光检信号；伺服模块用于对光检信号进行选频放大、方波整形、以及同步鉴相，产生纠偏电压作用于压控晶振，以调整压控晶振的输出频率；温控系统包括：隔离电路，用于对纠偏电压进行隔离；放大电路，用于对纠偏电压进行放大，产生温控电压；温度补偿电路，用于在温控电压的驱动下，调节原子频标的环境温度。本发明可将环境温度调节为工作的适宜温度。  来源：马 克 团 队,"1.一种原子频标的温控系统，所述原子频标包括压控晶振、电子线路、物理系统、以及伺服模块；所述压控晶振用于输出原始频率信号；所述电子线路用于对所述原始频率信号进行倍频和混频，产生微波探询信号；所述物理系统用于对所述微波探询信号进行鉴频，产生光检信号；所述伺服模块用于对所述光检信号进行选频放大、方波整形、以及同步鉴相，产生纠偏电压作用于所述压控晶振，以调整所述压控晶振的输出频率；
其特征在于，所述温控系统包括：
隔离电路，用于对所述纠偏电压进行隔离；
放大电路，用于对所述纠偏电压进行放大，产生温控电压；
温度补偿电路，用于在所述温控电压的驱动下，调节所述原子频标的环境温度；
所述温度补偿电路包括：
桥式整流电路，用于将所述温控电压调整为正向电压，所述温控电压大于0或小于0，所述正向电压大于0；
第一支路，用于在所述正向电压的驱动下，升高所述原子频标的环境温度；
第二支路，用于在所述正向电压的驱动下，降低所述原子频标的环境温度；
选择器，用于在所述原子频标的环境温度小于所述原子频标的工作温度时，将所述正向电压作用在所述第一支路上；在所述原子频标的环境温度大于所述原子频标的工作温度时，将所述正向电压作用在所述第二支路上；
所述选择器包括：
温度传感器，用于测量所述原子频标的环境温度；
比较器，用于将所述原子频标的环境温度与所述原子频标的工作温度进行对比，并根据对比结果输出控制信号；
继电器，用于根据所述控制信号选择将所述正向电压作用在所述第一支路和所述第二支路中的一个上，所述第一支路上设有加热线圈，所述第二支路上设有降温风扇，所述加热线圈和所述降温风扇分别与所述继电器连接。",,2021,江汉大学,学校,中国,武汉市,3,3,0,原子频标,,,,,原子频标,,,量子传感,量子计量/时间频率/PNT候选,{'量子传感': 3},专家补充词,量子计量/PNT候选,1,2021,1
一种原子频标,发明授权,江汉大学,学校,中国,武汉市,2021.0,H03L7/26,本发明公开了一种原子频标，该原子频标包括：压控晶振；控制器，用于产生键控调频信号和同步鉴相参考信号；DDS，用于在键控调频信号的作用下将压控晶振输出的频率信号转换为综合调制信号；幅值调整模块，用于将DDS输出的综合调制信号的幅值调整到预定值；倍频模块，用于对压控晶振输出的频率信号进行倍频，得到倍频信号；倍混频模块，用于将调整后的综合调制信号与倍频信号倍混频，产生微波探寻信号；物理系统，用于对微波探寻信号进行量子鉴频，产生量子鉴频信号；同步鉴相模块，用于采用同步鉴相参考信号对物理系统产生的量子鉴频信号进行同步鉴相，产生纠偏电压并输出至压控晶振。本发明能够提高原子频标整机输出频率的精度。,"1.一种原子频标，其特征在于，所述原子频标包括：
压控晶振，用于输出频率信号；
控制器，用于产生键控调频信号和同步鉴相参考信号；
直接数字式频率合成器，用于在所述键控调频信号的作用下将所述压控晶振输出的频率信号转换为综合调制信号，所述综合调制信号包括对应所述键控调频信号的高电平的第一频率信号和对应所述键控调频信号的低电平的第二频率信号；
幅值调整模块，用于将所述直接数字式频率合成器输出的所述综合调制信号的幅值调整到预定值，所述预定值根据所述第一频率信号和所述第二频率信号的幅值确定，所述预定值根据以下公式确定：(V1+V2)/N，其中，V1为所述第一频率信号的幅值，V2为所述第二频率信号的幅值，N为6或7；
倍频模块，用于对所述压控晶振输出的频率信号进行倍频，得到倍频信号；
倍混频模块，用于将所述幅值调整模块输出的调整后的综合调制信号与所述倍频模块输出的所述倍频信号倍混频，产生微波探寻信号；
物理系统，用于对所述倍混频模块输出的所述微波探寻信号进行量子鉴频，产生量子鉴频信号；
同步鉴相模块，用于采用所述同步鉴相参考信号对所述物理系统产生的所述量子鉴频信号进行同步鉴相，产生纠偏电压并将所述纠偏电压输出至所述压控晶振；
所述幅值调整模块包括运算放大器、第一电阻、第二电阻和数字电位计，所述运算放大器的反相输入端通过所述第一电阻接地，所述运算放大器的同相输入端通过所述第二电阻与所述直接数字式频率合成器的综合调制信号输出端连接，所述数字电位计连接在所述运算放大器的反相输入端和所述运算放大器的输出端之间，所述数字电位计的控制端与所述控制器电连接，所述运算放大器的输出端与所述倍混频模块电连接；
所述幅值调整模块还包括电压采样器件，用于采集所述第一频率信号和所述第二频率信号的电压值；
所述控制器还用于根据所述电压采样器件采集到的所述第一频率信号和所述第二频率信号的电压值，确定放大倍数，并根据放大倍数控制所述数字电位计，以将所述综合调制信号的幅值调整到所述预定值；
所述原子频标还包括选频放大模块，所述选频放大模块用于对所述量子鉴频信号进行选频放大；则所述同步鉴相模块用于采用所述同步鉴相参考信号对选频放大后的所述量子鉴频信号进行同步鉴相，产生纠偏电压并将所述纠偏电压输出至所述压控晶振；
所述键控调频信号和同步鉴相参考信号的频率均为79Hz，所述键控调频信号为占空比为1 : 1的方波信号，所述同步鉴相参考信号为矩形脉冲信号或方波信号，且所述同步鉴相参考信号与所述键控调频信号的相位关系固定不变。。数据由马 克 团 队整理",,2021,江汉大学,学校,中国,武汉市,3,3,0,原子频标,,,,,原子频标,,,量子传感,量子计量/时间频率/PNT候选,{'量子传感': 3},专家补充词,量子计量/PNT候选,1,2021,1
基于k-近邻处理的连续变量量子密钥分发系统及实现方法,发明授权,中南大学,学校,中国,长沙市,2021.0,H04L9/08,本发明公开了一种基于k‑近邻处理的连续变量量子密钥分发系统及实现方法，量子密钥发送端对量子信号进行离散调制并发送至量子密钥接收端，量子密钥接收端对接收到的信号进行检测，并将检测结果送至基于k‑近邻的后处理模块，基于k‑近邻的后处理模块采用k‑近邻法对接收到的信号进行处理。本发明能够克服量子密钥分发系统中的多种噪声，尤其是非高斯对称噪声，进一步提高了离散调制的连续变量量子密钥分发系统的实际安全性。,"1.基于k‑近邻处理的连续变量量子密钥分发系统的实现方法，其特征在于，具体按照以下步骤进行：
步骤一、量子秘钥发送：现场可编程门阵列信号生成卡(16)生成调制信号，用于控制第一电光相位调制器(5)进行离散调制，并将离散调制信号送至第一PC端(15)；
在量子信号发送端，脉冲激光器(1)产生的脉冲相干光，经过偏振器(2)控制其偏振态，之后通过第一可调衰减器(3)衰减至合适的光强水平，再经过第一分束器(4)分离成1％的信号光与99％的本振光，信号光依次经过第一电光相位调制器(5)和第二可调衰减器(6)进行离散调制，并将调制信号光衰减为量子水平，衰减信号光与本振光在偏振耦合器(7)中耦合形成量子秘钥，并通过量子信道发送至量子密钥接收端；
步骤二、量子秘钥接收：在量子秘钥接收端，量子秘钥通过偏振控制器(8)调整其偏振态，再经过偏振分束器(9)分成10％的信号光与90％的本振光，本振光经过第二电光相位调制器(10)相位调制后，与信号光在第二分束器(11)进行干涉，干涉后通过零差探测器(12)进行检测并将检测结果送至基于k‑近邻的后处理模块；
步骤三、基于k‑近邻的后处理模块采用现场可编程门阵列采集卡(13)采集信号，并将采集到的信号送至第二PC端(14)；
第二PC端(14)运用k‑近邻法对采集到的信号进行分类处理，运用LDPC码与第一PC端(15)进行纠错协商，并利用哈希矩阵进行私密放大，随后对信号采用GPU加速处理，通信双方获得一对安全密钥；
所述脉冲激光器(1)的型号为Thorlabs  OPG1015皮秒光脉冲发生器，第一电光相位调制器(5)和第二电光相位调制器(10)均为型号是MPZ‑LN‑10的电光相位调制器，偏振耦合器(7)的型号为Thorlabs  PBC980PM‑FC偏振光束耦合器，现场可编程门阵列信号生成卡(16)和现场可编程门阵列数据采集卡(13)均由Xilinx  VC707与FMC176组合而成，零差探测器(12)的型号为Thorlabs  PDA435A平衡放大光电探测器。  更多数据：www.macrodatas.cn",,2021,中南大学,学校,中国,长沙市,6,6,5,激光器；量子密钥；量子密钥分发,量子密钥；量子密钥分发,,激光器,,,,,量子通信与安全,量子通信与安全,"{'量子通信与安全': 5, '上游材料与核心部件': 1}",PDF直接词；PDF直接词/PDF支持扩展,中相关,1,2021,1
一种筛查保健食品中的非法添加物的方法,发明授权,湖南省检验检疫科学技术研究院; 长沙环境保护职业技术学院,"企业,学校",中国,长沙市,2021.0,G01N30/88,本发明为一种筛查保健食品中的非法添加物的方法，采用高效液相色谱离子阱飞行时间串联质谱对保健食品中的非法添加药物进行了筛查与确认。通过谱库检索、分子式预测、以及多级碎片离子质谱图鉴定，可对已知以及非目标化合物进行检测，并根据碎片离子信息，推断其裂解规律。该方法简单、快速，为“非目标”检测分析，筛查范围广，在不使用标准品或对照品的情况下即可得到准确可靠的结论。适用于食品、药品中减肥类非法添加物以及其他非法添加物的快速筛查与鉴定。,"1.一种筛查保健食品中的非法添加物的方法，其特征在于：包括建立减肥类化合物的名称、对应的分子式、第二级碎片离子、第三级碎片离子、第N级碎片离子的精确分子量，保留时间的高分辨质谱筛查谱库；采用乙腈作溶剂、超声波提取、C18粉末净化进行样品前处理；
称取1.000g样品置于25mL离心管中，加入15mL乙腈，超声波提取20min，放冷至室温，将样品全部转移至25mL容量瓶中，用10mL乙腈分数次清洗离心管，合并清洗液至容量瓶中，并用乙腈定容至刻度，摇匀后，静置5min，  取2mL上清液加入10mgC18粉末，充分涡旋后，以18000r/min离心3min，取0.5mL上清液，用流动相稀释至1.0mL，过0.22µm有机微孔滤膜后，供后续上机检测；
采用高效液相色谱联合离子阱飞行时间串联质谱进行定性和定量检测；所述的高效液相色谱条件为：色谱柱为安捷伦  ZORBAXEclipseAAA  柱；流动相体系为A-B，A为0.1%乙酸水溶液，B为乙腈；梯度洗脱程序为0～8min，5%B～20%B；8～26min，20%B～50%B；26～33min，50%B～100%B；100%B保持7min，40～40.1min，100%B～5%B；40.1～45min，5%B，柱温为30℃；
进样体积为10μL；检测波长为230nm；所述的离子阱飞行时间串联质谱条件为：离子源为ESI，正负离子同时扫描；扫描范围为MS1m/z150-1000，MS2m/z50-500，MS3m/z50-500；加热模块温度为200℃；CDL温度为200℃；雾化气流速为1.5L/min；干燥气流速为10L/min；离子源电压为正离子模式+4.5kV，负离子模式-3.5kV；检测器电压为1.7kV；质量数校准方法为自动调谐优化电压，外标法校准质量数；
所述减肥类化合物为西布曲明。",,2021,湖南省检验检疫科学技术研究院,"企业,学校",中国,长沙市,5,5,5,离子阱,离子阱,,,,,,,量子计算硬件,量子计算硬件/量子芯片,{'量子计算硬件': 5},PDF直接词,中相关,1,2021,1
