关键词,技术领域,细分方向,产业板块,核心程度得分,匹配类型,上下文要求,来源类型
碱性-PEM混合制氢,制氢,复合与海水路线,制氢,4,core,无需上下文,附件报告/国家能源局/行业研究
碱性PEM混合制氢,制氢,复合与海水路线,制氢,4,core,无需上下文,附件报告/国家能源局/行业研究
混合电解制氢,制氢,复合与海水路线,制氢,4,core,无需上下文,附件报告/国家能源局/行业研究
海水电解制氢,制氢,复合与海水路线,制氢,4,core,无需上下文,附件报告/国家能源局/行业研究
海水直接制氢,制氢,复合与海水路线,制氢,4,core,无需上下文,附件报告/国家能源局/行业研究
海上制氢,制氢,复合与海水路线,制氢,4,core,无需上下文,附件报告/国家能源局/行业研究
深远海制氢,制氢,复合与海水路线,制氢,4,core,无需上下文,附件报告/国家能源局/行业研究
废水电解制氢,制氢,复合与海水路线,制氢,4,core,无需上下文,附件报告/国家能源局/行业研究
光电化学制氢,制氢,前沿制氢,制氢,4,core,无需上下文,IEA/科研机构补充
光催化制氢,制氢,前沿制氢,制氢,4,core,无需上下文,IEA/科研机构补充
太阳能光解水,制氢,前沿制氢,制氢,4,core,无需上下文,IEA/科研机构补充
太阳能热化学制氢,制氢,前沿制氢,制氢,4,core,无需上下文,IEA/科研机构补充
热化学循环制氢,制氢,前沿制氢,制氢,4,core,无需上下文,IEA/科研机构补充
生物光解水制氢,制氢,前沿制氢,制氢,4,core,无需上下文,IEA/科研机构补充
人工光合作用制氢,制氢,前沿制氢,制氢,4,core,无需上下文,IEA/科研机构补充
PEC制氢,制氢,前沿制氢,制氢,4,core,无需上下文,IEA/科研机构补充
制氢电解槽,制氢关键材料部件,电解槽与电堆,关键材料与装备,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/资本研报
制氢电解堆,制氢关键材料部件,电解槽与电堆,关键材料与装备,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/资本研报
电解槽电堆,制氢关键材料部件,电解槽与电堆,关键材料与装备,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/资本研报
电解小室,制氢关键材料部件,电解槽与电堆,关键材料与装备,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/资本研报
电解单元,制氢关键材料部件,电解槽与电堆,关键材料与装备,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/资本研报
电解槽极框,制氢关键材料部件,电解槽与电堆,关键材料与装备,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/资本研报
电解槽极板,制氢关键材料部件,电解槽与电堆,关键材料与装备,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/资本研报
电解槽端板,制氢关键材料部件,电解槽与电堆,关键材料与装备,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/资本研报
电解槽拉杆,制氢关键材料部件,电解槽与电堆,关键材料与装备,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/资本研报
电解槽密封,制氢关键材料部件,电解槽与电堆,关键材料与装备,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/资本研报
电解槽隔膜,制氢关键材料部件,隔膜与交换膜,关键材料与装备,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/资本研报
PPS隔膜,制氢关键材料部件,隔膜与交换膜,关键材料与装备,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/资本研报
复合隔膜,制氢关键材料部件,隔膜与交换膜,关键材料与装备,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/资本研报
离子交换膜,制氢关键材料部件,隔膜与交换膜,关键材料与装备,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/资本研报
质子交换膜,制氢关键材料部件,隔膜与交换膜,关键材料与装备,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/资本研报
阴离子交换膜,制氢关键材料部件,隔膜与交换膜,关键材料与装备,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/资本研报
氢氧根交换膜,制氢关键材料部件,隔膜与交换膜,关键材料与装备,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/资本研报
全氟磺酸膜,制氢关键材料部件,隔膜与交换膜,关键材料与装备,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/资本研报
膜电极组件,制氢关键材料部件,隔膜与交换膜,关键材料与装备,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/资本研报
膜电极,制氢关键材料部件,隔膜与交换膜,关键材料与装备,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/资本研报
MEA,制氢关键材料部件,隔膜与交换膜,关键材料与装备,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/资本研报
析氢催化剂,制氢关键材料部件,电催化材料,关键材料与装备,4,contextual,需同时出现氢能与绿色能源上下文,资本研报/科研机构补充
析氧催化剂,制氢关键材料部件,电催化材料,关键材料与装备,4,contextual,需同时出现氢能与绿色能源上下文,资本研报/科研机构补充
HER催化剂,制氢关键材料部件,电催化材料,关键材料与装备,4,contextual,需同时出现氢能与绿色能源上下文,资本研报/科研机构补充
OER催化剂,制氢关键材料部件,电催化材料,关键材料与装备,4,contextual,需同时出现氢能与绿色能源上下文,资本研报/科研机构补充
水电解催化剂,制氢关键材料部件,电催化材料,关键材料与装备,4,contextual,需同时出现氢能与绿色能源上下文,资本研报/科研机构补充
制氢电催化剂,制氢关键材料部件,电催化材料,关键材料与装备,4,contextual,需同时出现氢能与绿色能源上下文,资本研报/科研机构补充
铱基催化剂,制氢关键材料部件,电催化材料,关键材料与装备,4,contextual,需同时出现氢能与绿色能源上下文,资本研报/科研机构补充
铂基催化剂,制氢关键材料部件,电催化材料,关键材料与装备,4,contextual,需同时出现氢能与绿色能源上下文,资本研报/科研机构补充
镍铁催化剂,制氢关键材料部件,电催化材料,关键材料与装备,4,contextual,需同时出现氢能与绿色能源上下文,资本研报/科研机构补充
非贵金属电催化剂,制氢关键材料部件,电催化材料,关键材料与装备,4,contextual,需同时出现氢能与绿色能源上下文,资本研报/科研机构补充
催化层,制氢关键材料部件,电催化材料,关键材料与装备,4,contextual,需同时出现氢能与绿色能源上下文,资本研报/科研机构补充
多孔传输层,制氢关键材料部件,多孔传输与双极板,关键材料与装备,3,contextual,需同时出现氢能与绿色能源上下文,附件报告/资本研报
PTL,制氢关键材料部件,多孔传输与双极板,关键材料与装备,3,contextual,需同时出现氢能与绿色能源上下文,附件报告/资本研报
气体扩散层,制氢关键材料部件,多孔传输与双极板,关键材料与装备,3,contextual,需同时出现氢能与绿色能源上下文,附件报告/资本研报
GDL,制氢关键材料部件,多孔传输与双极板,关键材料与装备,3,contextual,需同时出现氢能与绿色能源上下文,附件报告/资本研报
钛毡,制氢关键材料部件,多孔传输与双极板,关键材料与装备,3,contextual,需同时出现氢能与绿色能源上下文,附件报告/资本研报
镍网,制氢关键材料部件,多孔传输与双极板,关键材料与装备,3,contextual,需同时出现氢能与绿色能源上下文,附件报告/资本研报
泡沫镍,制氢关键材料部件,多孔传输与双极板,关键材料与装备,3,contextual,需同时出现氢能与绿色能源上下文,附件报告/资本研报
双极板,制氢关键材料部件,多孔传输与双极板,关键材料与装备,3,contextual,需同时出现氢能与绿色能源上下文,附件报告/资本研报
钛双极板,制氢关键材料部件,多孔传输与双极板,关键材料与装备,3,contextual,需同时出现氢能与绿色能源上下文,附件报告/资本研报
金属双极板,制氢关键材料部件,多孔传输与双极板,关键材料与装备,3,contextual,需同时出现氢能与绿色能源上下文,附件报告/资本研报
集流体,制氢关键材料部件,多孔传输与双极板,关键材料与装备,3,contextual,需同时出现氢能与绿色能源上下文,附件报告/资本研报
扩散层,制氢关键材料部件,多孔传输与双极板,关键材料与装备,3,contextual,需同时出现氢能与绿色能源上下文,附件报告/资本研报
制氢整流器,制氢关键材料部件,制氢系统辅机,关键材料与装备,3,contextual,需同时出现氢能与绿色能源上下文,附件报告/行业研究
可控硅整流,制氢关键材料部件,制氢系统辅机,关键材料与装备,3,contextual,需同时出现氢能与绿色能源上下文,附件报告/行业研究
IGBT整流,制氢关键材料部件,制氢系统辅机,关键材料与装备,3,contextual,需同时出现氢能与绿色能源上下文,附件报告/行业研究
电解液循环,制氢关键材料部件,制氢系统辅机,关键材料与装备,3,contextual,需同时出现氢能与绿色能源上下文,附件报告/行业研究
气液分离器,制氢关键材料部件,制氢系统辅机,关键材料与装备,3,contextual,需同时出现氢能与绿色能源上下文,附件报告/行业研究
氢氧分离器,制氢关键材料部件,制氢系统辅机,关键材料与装备,3,contextual,需同时出现氢能与绿色能源上下文,附件报告/行业研究
氢气纯化器,制氢关键材料部件,制氢系统辅机,关键材料与装备,3,contextual,需同时出现氢能与绿色能源上下文,附件报告/行业研究
氢气干燥器,制氢关键材料部件,制氢系统辅机,关键材料与装备,3,contextual,需同时出现氢能与绿色能源上下文,附件报告/行业研究
去离子水系统,制氢关键材料部件,制氢系统辅机,关键材料与装备,3,contextual,需同时出现氢能与绿色能源上下文,附件报告/行业研究
制氢BOP,制氢关键材料部件,制氢系统辅机,关键材料与装备,3,contextual,需同时出现氢能与绿色能源上下文,附件报告/行业研究
制氢撬装系统,制氢关键材料部件,制氢系统辅机,关键材料与装备,3,contextual,需同时出现氢能与绿色能源上下文,附件报告/行业研究
宽负荷制氢,制氢运行控制,宽负荷与波动适应,制氢,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/资本研报
宽功率制氢,制氢运行控制,宽负荷与波动适应,制氢,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/资本研报
动态制氢,制氢运行控制,宽负荷与波动适应,制氢,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/资本研报
波动电源适应,制氢运行控制,宽负荷与波动适应,制氢,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/资本研报
快速启停电解槽,制氢运行控制,宽负荷与波动适应,制氢,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/资本研报
电解槽快速响应,制氢运行控制,宽负荷与波动适应,制氢,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/资本研报
低负荷运行,制氢运行控制,宽负荷与波动适应,制氢,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/资本研报
超额功率运行,制氢运行控制,宽负荷与波动适应,制氢,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/资本研报
制氢负荷调节,制氢运行控制,宽负荷与波动适应,制氢,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/资本研报
电解槽集群控制,制氢运行控制,集群与能量管理,系统集成,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/科研机构补充
制氢集群控制,制氢运行控制,集群与能量管理,系统集成,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/科研机构补充
电解槽群控,制氢运行控制,集群与能量管理,系统集成,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/科研机构补充
电解槽功率分配,制氢运行控制,集群与能量管理,系统集成,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/科研机构补充
制氢能量管理,制氢运行控制,集群与能量管理,系统集成,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/科研机构补充
制氢功率预测,制氢运行控制,集群与能量管理,系统集成,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/科研机构补充
风光功率预测制氢,制氢运行控制,集群与能量管理,系统集成,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/科研机构补充
氢储能调度,制氢运行控制,集群与能量管理,系统集成,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/科研机构补充
电氢协同调度,制氢运行控制,集群与能量管理,系统集成,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/科研机构补充
电解槽电流密度,制氢运行控制,性能与寿命,制氢,3,contextual,需同时出现氢能与绿色能源上下文,附件报告/行业研究
电解槽能耗,制氢运行控制,性能与寿命,制氢,3,contextual,需同时出现氢能与绿色能源上下文,附件报告/行业研究
电解槽效率,制氢运行控制,性能与寿命,制氢,3,contextual,需同时出现氢能与绿色能源上下文,附件报告/行业研究
法拉第效率,制氢运行控制,性能与寿命,制氢,3,contextual,需同时出现氢能与绿色能源上下文,附件报告/行业研究
气体交叉渗透,制氢运行控制,性能与寿命,制氢,3,contextual,需同时出现氢能与绿色能源上下文,附件报告/行业研究
氢氧互串,制氢运行控制,性能与寿命,制氢,3,contextual,需同时出现氢能与绿色能源上下文,附件报告/行业研究
电解槽衰减,制氢运行控制,性能与寿命,制氢,3,contextual,需同时出现氢能与绿色能源上下文,附件报告/行业研究
电解槽寿命,制氢运行控制,性能与寿命,制氢,3,contextual,需同时出现氢能与绿色能源上下文,附件报告/行业研究
电极活化,制氢运行控制,性能与寿命,制氢,3,contextual,需同时出现氢能与绿色能源上下文,附件报告/行业研究
电解槽故障诊断,制氢运行控制,性能与寿命,制氢,3,contextual,需同时出现氢能与绿色能源上下文,附件报告/行业研究
高压气态储氢,储氢,高压气态储氢,储氢,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/IEA
压缩氢储存,储氢,高压气态储氢,储氢,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/IEA
35MPa储氢,储氢,高压气态储氢,储氢,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/IEA
70MPa储氢,储氢,高压气态储氢,储氢,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/IEA
储氢瓶,储氢,高压气态储氢,储氢,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/IEA
储氢气瓶,储氢,高压气态储氢,储氢,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/IEA
储氢瓶组,储氢,高压气态储氢,储氢,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/IEA
储氢容器,储氢,高压气态储氢,储氢,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/IEA
储氢罐,储氢,高压气态储氢,储氢,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/IEA
管束式集装箱,储氢,高压气态储氢,储氢,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/IEA
长管拖车,储氢,高压气态储氢,储氢,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/IEA
III型储氢瓶,储氢,复合材料储氢瓶,储氢,4,core,无需上下文,附件报告/资本研报
IV型储氢瓶,储氢,复合材料储氢瓶,储氢,4,core,无需上下文,附件报告/资本研报
三型储氢瓶,储氢,复合材料储氢瓶,储氢,4,core,无需上下文,附件报告/资本研报
四型储氢瓶,储氢,复合材料储氢瓶,储氢,4,core,无需上下文,附件报告/资本研报
碳纤维缠绕储氢瓶,储氢,复合材料储氢瓶,储氢,4,core,无需上下文,附件报告/资本研报
塑料内胆储氢瓶,储氢,复合材料储氢瓶,储氢,4,core,无需上下文,附件报告/资本研报
铝内胆储氢瓶,储氢,复合材料储氢瓶,储氢,4,core,无需上下文,附件报告/资本研报
车载高压储氢系统,储氢,复合材料储氢瓶,储氢,4,core,无需上下文,附件报告/资本研报
液氢,储氢,液氢与低温储运,储氢,4,core,无需上下文,附件报告/IEA
氢液化,储氢,液氢与低温储运,储氢,4,core,无需上下文,附件报告/IEA
氢气液化,储氢,液氢与低温储运,储氢,4,core,无需上下文,附件报告/IEA
液氢储罐,储氢,液氢与低温储运,储氢,4,core,无需上下文,附件报告/IEA
液氢容器,储氢,液氢与低温储运,储氢,4,core,无需上下文,附件报告/IEA
车载液氢,储氢,液氢与低温储运,储氢,4,core,无需上下文,附件报告/IEA
低温液氢,储氢,液氢与低温储运,储氢,4,core,无需上下文,附件报告/IEA
仲正氢转化,储氢,液氢与低温储运,储氢,4,core,无需上下文,附件报告/IEA
正仲氢转化,储氢,液氢与低温储运,储氢,4,core,无需上下文,附件报告/IEA
液氢蒸发损失,储氢,液氢与低温储运,储氢,4,core,无需上下文,附件报告/IEA
BOG氢气,储氢,液氢与低温储运,储氢,4,core,无需上下文,附件报告/IEA
零蒸发液氢,储氢,液氢与低温储运,储氢,4,core,无需上下文,附件报告/IEA
地下储氢,储氢,地下储氢,储氢,4,core,无需上下文,附件报告/IEA
盐穴储氢,储氢,地下储氢,储氢,4,core,无需上下文,附件报告/IEA
盐洞储氢,储氢,地下储氢,储氢,4,core,无需上下文,附件报告/IEA
枯竭油气藏储氢,储氢,地下储氢,储氢,4,core,无需上下文,附件报告/IEA
含水层储氢,储氢,地下储氢,储氢,4,core,无需上下文,附件报告/IEA
岩穴储氢,储氢,地下储氢,储氢,4,core,无需上下文,附件报告/IEA
大规模地下储氢,储氢,地下储氢,储氢,4,core,无需上下文,附件报告/IEA
固态储氢,储氢,固态与吸附储氢,储氢,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/科研机构补充
金属氢化物储氢,储氢,固态与吸附储氢,储氢,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/科研机构补充
镁基储氢,储氢,固态与吸附储氢,储氢,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/科研机构补充
稀土储氢合金,储氢,固态与吸附储氢,储氢,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/科研机构补充
配位氢化物,储氢,固态与吸附储氢,储氢,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/科研机构补充
硼氢化物储氢,储氢,固态与吸附储氢,储氢,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/科研机构补充
储氢合金,储氢,固态与吸附储氢,储氢,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/科研机构补充
吸附储氢,储氢,固态与吸附储氢,储氢,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/科研机构补充
多孔材料储氢,储氢,固态与吸附储氢,储氢,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/科研机构补充
MOF储氢,储氢,固态与吸附储氢,储氢,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/科研机构补充
碳材料储氢,储氢,固态与吸附储氢,储氢,4,contextual,需同时出现氢能与绿色能源上下文,附件报告/科研机构补充
液态有机储氢,储氢,化学载体储氢,储氢,4,core,无需上下文,IEA/资本研报
液态有机氢载体,储氢,化学载体储氢,储氢,4,core,无需上下文,IEA/资本研报
LOHC,储氢,化学载体储氢,储氢,4,core,无需上下文,IEA/资本研报
有机液体储氢,储氢,化学载体储氢,储氢,4,core,无需上下文,IEA/资本研报
甲基环己烷储氢,储氢,化学载体储氢,储氢,4,core,无需上下文,IEA/资本研报
二苄基甲苯储氢,储氢,化学载体储氢,储氢,4,core,无需上下文,IEA/资本研报
氨储氢,储氢,化学载体储氢,储氢,4,core,无需上下文,IEA/资本研报
甲醇储氢,储氢,化学载体储氢,储氢,4,core,无需上下文,IEA/资本研报
氨硼烷储氢,储氢,化学载体储氢,储氢,4,core,无需上下文,IEA/资本研报
甲酸储氢,储氢,化学载体储氢,储氢,4,core,无需上下文,IEA/资本研报
纯氢管道,输氢,管道输氢,输氢,4,core,无需上下文,附件报告/IEA
输氢管道,输氢,管道输氢,输氢,4,core,无需上下文,附件报告/IEA
氢气长输管道,输氢,管道输氢,输氢,4,core,无需上下文,附件报告/IEA
高压输氢管道,输氢,管道输氢,输氢,4,core,无需上下文,附件报告/IEA
跨区域输氢,输氢,管道输氢,输氢,4,core,无需上下文,附件报告/IEA
氢气管网,输氢,管道输氢,输氢,4,core,无需上下文,附件报告/IEA
氢能管网,输氢,管道输氢,输氢,4,core,无需上下文,附件报告/IEA
海底输氢管道,输氢,管道输氢,输氢,4,core,无需上下文,附件报告/IEA
天然气掺氢,输氢,掺氢与分离,输氢,3,core,无需上下文,附件报告/行业研究
管道掺氢,输氢,掺氢与分离,输氢,3,core,无需上下文,附件报告/行业研究
掺氢天然气,输氢,掺氢与分离,输氢,3,core,无需上下文,附件报告/行业研究
氢气掺混,输氢,掺氢与分离,输氢,3,core,无需上下文,附件报告/行业研究
掺氢比例,输氢,掺氢与分离,输氢,3,core,无需上下文,附件报告/行业研究
掺氢管输,输氢,掺氢与分离,输氢,3,core,无需上下文,附件报告/行业研究
氢气分离,输氢,掺氢与分离,输氢,3,core,无需上下文,附件报告/行业研究
氢气提纯,输氢,掺氢与分离,输氢,3,core,无需上下文,附件报告/行业研究
掺氢分离,输氢,掺氢与分离,输氢,3,core,无需上下文,附件报告/行业研究
氢气膜分离,输氢,掺氢与分离,输氢,3,core,无需上下文,附件报告/行业研究
变压吸附提氢,输氢,掺氢与分离,输氢,3,core,无需上下文,附件报告/行业研究
PSA提氢,输氢,掺氢与分离,输氢,3,core,无需上下文,附件报告/行业研究
氢气压缩机,输氢,压缩与输送装备,输氢,3,contextual,需同时出现氢能与绿色能源上下文,附件报告/资本研报
隔膜压缩机,输氢,压缩与输送装备,输氢,3,contextual,需同时出现氢能与绿色能源上下文,附件报告/资本研报
液驱压缩机,输氢,压缩与输送装备,输氢,3,contextual,需同时出现氢能与绿色能源上下文,附件报告/资本研报
