第一申请人,第一申请人地区,第一申请人城市,year,biomanufacturing_patent_count,biomanufacturing_score_sum,biomanufacturing_score_mean,biomanufacturing_score_max,evidence_score_sum,evidence_score_mean,core_score_mean,core_score_max,main_categories,main_sub_categories,industry_segments,matched_terms,first_applicant_types
SK新技术株式会社,韩国,,2024,4,7,1.75,2,9,2.25,1.75,2,产品与应用,氨基酸与有机酸发酵产品；高值活性分子,应用产品,丙酮酸；核苷酸；甲硫氨酸,企业
SK新技术株式会社,韩国,,2025,1,1,1.0,1,1,1.0,1.0,1,产品与应用,氨基酸与有机酸发酵产品,应用产品,丙酮酸,企业
T&R碧欧法博有限公司,韩国,,2024,2,8,4.0,4,9,4.5,4.0,4,前沿生物制造,3D生物打印,前沿制造,3D生物打印；三维生物打印；生物墨水；肝素；透明质酸,企业
Z生命科学公司,美国,,2025,1,4,4.0,4,6,6.0,4.0,4,代谢工程与细胞工厂,表达系统,技术平台,核苷酸；组成型表达,企业
一力制药(罗定)有限公司,中国,云浮,2025,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,下游分离纯化,生产制造,膜过滤,企业
一力制药(罗定)有限公司,中国,云浮市,2021,1,3,3.0,3,4,4.0,3.0,3,生物过程与规模化,生物反应器,生产制造,发酵罐；精氨酸,企业
丁利华,中国,杭州市,2021,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,发酵罐,"个人,科研单位"
丁骞,中国,六安市,2023,1,4,4.0,4,4,4.0,4.0,4,生物过程与规模化,发酵工程,生产制造,微生物发酵；生物发酵,个人
七星柠檬科技有限公司,中国,临沂,2024,3,12,4.0,4,21,7.0,4.0,4,生物过程与规模化,发酵工程,生产制造,发酵罐；微生物发酵；生物发酵,企业
万京(广东)生物技术有限公司,中国,江门,2024,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,下游分离纯化,生产制造,膜过滤,企业
万华化学(四川)有限公司,中国,眉山,2024,2,6,3.0,4,10,5.0,3.0,4,产品与应用；生物过程与规模化,发酵工程；食品与营养,应用产品；生产制造,乳酸单体；单细胞蛋白；发酵生产；聚乳酸,企业
万华化学(四川)有限公司,中国,眉山,2025,3,9,3.0,4,14,4.666666666666667,3.0,4,产品与应用；生物过程与规模化；酶与蛋白质工程,生物催化；生物反应器；高值活性分子,应用产品；生产制造,丁二酸；丙氨酸；丙酸；发酵罐；琥珀酸；生物催化；虾青素；谷氨酸,企业
万华化学(四川)有限公司,中国,眉山市,2023,6,21,3.5,4,27,4.5,3.5,4,代谢工程与细胞工厂；生物过程与规模化,下游分离纯化；发酵工程；生物反应器；表达系统,技术平台；生产制造,分离纯化；发酵生产；发酵罐；柠檬酸；组成型表达；虾青素；透明质酸,企业
万华化学集团股份有限公司,中国,烟台,2024,7,20,2.857142857142857,4,31,4.428571428571429,2.857142857142857,4,产品与应用；生物过程与规模化；酶与蛋白质工程,发酵工程；氨基酸与有机酸发酵产品；生物催化；生物反应器；高值活性分子,应用产品；生产制造,pH控制；丙酸；单细胞蛋白；发酵工程；发酵罐；生物催化；生物发酵；肌醇；谷氨酸；连续发酵；酶催化合成,企业
万华化学集团股份有限公司,中国,烟台,2025,2,8,4.0,4,9,4.5,4.0,4,生物过程与规模化；酶与蛋白质工程,发酵工程；生物催化,生产制造,微生物发酵；生物催化；生物发酵；蛋氨酸,企业
万华化学集团股份有限公司,中国,烟台市,2021,1,4,4.0,4,7,7.0,4.0,4,生物过程与规模化,发酵工程,生产制造,发酵生产；膜过滤,企业
万华化学集团股份有限公司,中国,烟台市,2022,4,14,3.5,4,18,4.5,3.5,4,生物过程与规模化,发酵工程；生物反应器；过程控制与优化,生产制造,pH控制；丙氨酸；发酵生产；发酵罐,企业
万华化学集团股份有限公司,中国,烟台市,2023,5,17,3.4,4,29,5.8,3.4,4,生物过程与规模化；酶与蛋白质工程,生物催化；生物反应器；酶固定化与反应体系,生产制造,丁二酸；丙氨酸；分离纯化；发酵罐；固定化酶；核苷酸；生物催化,企业
万合泽(江苏)生物科技有限公司,中国,苏州,2024,1,4,4.0,4,5,5.0,4.0,4,生物过程与规模化,连续制造与过程强化,生产制造,连续培养；透明质酸,企业
万新医药科技(苏州)有限公司,中国,苏州市,2021,1,4,4.0,4,4,4.0,4.0,4,代谢工程与细胞工厂,表达系统,技术平台,诱导表达,企业
万新医药科技(苏州)有限公司,中国,苏州市,2022,1,4,4.0,4,7,7.0,4.0,4,代谢工程与细胞工厂,表达系统,技术平台,分离纯化；膜过滤；诱导表达,企业
万物生(深圳)生物科技控股有限公司,中国,深圳,2025,2,3,1.5,2,3,1.5,1.5,2,产品与应用,平台化合物；氨基酸与有机酸发酵产品,应用产品,柠檬酸；琥珀酸,企业
万物生(深圳)生物科技控股有限公司,中国,深圳市,2022,1,3,3.0,3,4,4.0,3.0,3,生物过程与规模化,生物反应器,生产制造,发酵罐；苹果酸,企业
万继东,中国,鞍山市,2023,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,发酵罐,个人
万达集团股份有限公司,中国,东营市,2021,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,发酵罐,企业
三W有限公司,以色列,,2024,1,2,2.0,2,2,2.0,2.0,2,产品与应用,可降解聚合物,应用产品,聚乳酸,企业
三亚中国农业科学院国家南繁研究院,中国,三亚,2024,4,14,3.5,4,24,6.0,3.5,4,产品与应用；代谢工程与细胞工厂,表达系统；高值活性分子,应用产品；技术平台,CRISPR；基因编辑；核苷酸；表达盒,科研单位
三亚中国农业科学院国家南繁研究院,中国,三亚,2025,11,35,3.1818181818181817,5,50,4.545454545454546,3.1818181818181817,5,DNA/RNA读写编辑；产品与应用；代谢工程与细胞工厂；生物制造基础,合成生物学；基因与基因组编辑；表达系统；高值活性分子,应用产品；底层工具；技术平台,CRISPR；合成生物学；基因组编辑；基因编辑；核苷酸；生物反应器；碱基编辑；表达盒,"科研单位；科研单位,学校；科研单位,科研单位"
三亚中国农业科学院国家南繁研究院,中国,三亚市,2023,2,4,2.0,2,4,2.0,2.0,2,产品与应用,农业生物制造；高值活性分子,应用产品,微生物肥料；核苷酸,科研单位
三亚仕泓农业科技有限公司,中国,三亚,2025,1,2,2.0,2,2,2.0,2.0,2,产品与应用,农业生物制造,应用产品,生物农药,企业
三亚华大生命科学研究院,中国,三亚,2025,2,10,5.0,5,16,8.0,5.0,5,底盘细胞与菌株工程,底盘细胞,技术平台,底盘细胞；底盘菌株；核苷酸；突变体文库,科研单位
三亚海洋生态环境工程研究院,中国,三亚,2025,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,下游分离纯化,生产制造,分离纯化,"科研单位,科研单位"
三亚福联水产发展有限公司,中国,三亚市,2022,1,2,2.0,2,2,2.0,2.0,2,产品与应用,高值活性分子,应用产品,虾青素,企业
三十呼吸有限公司,英国,,2024,1,1,1.0,1,1,1.0,1.0,1,产品与应用,氨基酸与有机酸发酵产品,应用产品,柠檬酸,企业
三只松鼠股份有限公司,中国,芜湖市,2023,1,4,4.0,4,4,4.0,4.0,4,生物过程与规模化,发酵工程,生产制造,发酵生产,企业
三峡大学,中国,宜昌,2024,1,4,4.0,4,8,8.0,4.0,4,酶与蛋白质工程,生物催化,生产制造,生物催化；适应性进化,学校
三峡大学,中国,宜昌,2025,7,25,3.5714285714285716,4,36,5.142857142857143,3.5714285714285716,4,DNA/RNA读写编辑；产品与应用；原料与低碳路线；底盘细胞与菌株工程；生物过程与规模化；酶与蛋白质工程,发酵工程；基因与基因组编辑；生物催化；菌种选育与诱变；非粮生物质；高值活性分子,原料层；应用产品；底层工具；技术平台；生产制造,ARTP；丙氨酸；分离纯化；发酵生产；发酵罐；多酶级联；定点突变；层析纯化；微生物发酵；木质纤维素；生物催化；生物发酵；精氨酸；苏氨酸；虾青素；谷氨酸,"学校；学校,企业"
三峡大学,中国,宜昌市,2021,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,生物反应器,学校
三峡大学,中国,宜昌市,2022,5,14,2.8,4,35,7.0,2.8,4,产品与应用；底盘细胞与菌株工程；酶与蛋白质工程,氨基酸与有机酸发酵产品；消费品与个护原料；生物催化；菌种选育与诱变；酶工程,应用产品；技术平台；生产制造,ARTP；丙氨酸；丙酮酸；丙酸；多酶级联；定点突变；生物表面活性剂；膜分离；谷氨酸；酶工程；高产菌株；高通量筛选,学校
三峡大学,中国,宜昌市,2023,2,8,4.0,4,8,4.0,4.0,4,代谢工程与细胞工厂；底盘细胞与菌株工程,菌种选育与诱变；表达系统,技术平台,ARTP；诱导表达,学校
三峡金沙江川云水电开发有限公司,中国,成都,2025,1,4,4.0,4,4,4.0,4.0,4,生物过程与规模化,连续制造与过程强化,生产制造,连续培养,企业
三明傲农生物科技有限公司,中国,三明市,2023,1,4,4.0,4,5,5.0,4.0,4,生物过程与规模化,发酵工程,生产制造,微生物发酵；生物发酵；葡萄糖酸,企业
三明元利珍稀菇有限公司,中国,三明市,2021,1,1,1.0,1,1,1.0,1.0,1,产品与应用,氨基酸与有机酸发酵产品,应用产品,氨基酸发酵,企业
三明学院,中国,三明,2024,2,4,2.0,2,4,2.0,2.0,2,产品与应用,生物能源与燃料,应用产品,生物燃料,学校
三明学院,中国,三明,2025,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,发酵罐,学校
三明学院,中国,三明市,2021,1,2,2.0,2,2,2.0,2.0,2,产品与应用,高值活性分子,应用产品,核苷酸,学校
三明学院,中国,三明市,2022,5,14,2.8,4,24,4.8,2.8,4,产品与应用；酶与蛋白质工程,蛋白质工程；高值活性分子,应用产品；技术平台,丙氨酸；合成代谢途径；核苷酸；蛋白质工程,学校
三明市农业科学研究院,中国,三明,2025,1,4,4.0,4,7,7.0,4.0,4,生物过程与规模化,连续制造与过程强化,生产制造,生物反应器；连续培养,科研单位
三明市农业科学研究院,中国,三明市,2023,1,4,4.0,4,4,4.0,4.0,4,DNA/RNA读写编辑,基因合成,底层工具,DNA合成,科研单位
三桶油环保科技(宜兴)有限公司,中国,无锡市,2023,1,5,5.0,5,5,5.0,5.0,5,原料与低碳路线,电生物合成,前沿制造,电化学生物耦合,企业
三生国健药业(上海)股份有限公司,中国,上海市,2023,1,4,4.0,4,12,12.0,4.0,4,代谢工程与细胞工厂,表达系统,技术平台,基因合成；层析纯化；柠檬酸；精氨酸；诱导表达,企业
三维生物科技有限公司,美国,,2025,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,生物反应器,企业
三菱化学株式会社,日本,,2024,1,4,4.0,4,4,4.0,4.0,4,酶与蛋白质工程,生物催化,生产制造,生物催化,"企业,学校"
三菱瓦斯化学株式会社,日本,,2024,1,4,4.0,4,4,4.0,4.0,4,生物过程与规模化,连续制造与过程强化,生产制造,连续培养,企业
三门峡中科植茂生安科技有限公司,中国,三门峡市,2023,1,2,2.0,2,2,2.0,2.0,2,产品与应用,平台化合物,应用产品,琥珀酸,企业
三门峡鑫鼎农业科技有限公司,中国,三门峡,2025,1,4,4.0,4,4,4.0,4.0,4,生物过程与规模化,发酵工程,生产制造,生物发酵,企业
三门峡龙飞生物工程有限公司,中国,三门峡市,2021,1,1,1.0,1,1,1.0,1.0,1,产品与应用,氨基酸与有机酸发酵产品,应用产品,精氨酸,企业
上普博源(北京)生物科技有限公司,中国,北京市,2023,1,4,4.0,4,4,4.0,4.0,4,前沿生物制造,3D生物打印,前沿制造,生物墨水,企业
上海一恒科学仪器有限公司,中国,上海,2024,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,生物反应器,企业
上海三维生物技术有限公司,中国,上海,2024,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,生物反应器,企业
上海东庚化工技术有限公司,中国,上海市,2023,1,1,1.0,1,1,1.0,1.0,1,产品与应用,氨基酸与有机酸发酵产品,应用产品,苹果酸,企业
上海东振环保工程技术有限公司,中国,上海,2024,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,生物反应器,企业
上海东方星际干细胞科技有限公司,中国,上海市,2023,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,生物反应器,企业
上海东晟源日化有限公司,中国,上海市,2023,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,发酵罐,企业
上海中医药大学,中国,上海,2024,2,6,3.0,4,6,3.0,3.0,4,产品与应用；酶与蛋白质工程,平台化合物；生物催化,应用产品；生产制造,丁二酸；生物转化,学校
上海中医药大学,中国,上海,2025,1,4,4.0,4,4,4.0,4.0,4,生物过程与规模化,发酵工程,生产制造,发酵生产,学校
上海中医药大学,中国,上海市,2021,2,6,3.0,3,6,3.0,3.0,3,生物过程与规模化,下游分离纯化；生物反应器,生产制造,分离纯化；发酵罐,学校
上海中医药大学,中国,上海市,2022,4,16,4.0,4,20,5.0,4.0,4,DNA/RNA读写编辑；代谢工程与细胞工厂,代谢工程；基因与基因组编辑,底层工具；技术平台,CRISPR；丙酮酸；发酵罐；基因编辑；生物合成途径,学校
上海中医药大学,中国,上海市,2023,2,8,4.0,4,8,4.0,4.0,4,DNA/RNA读写编辑；酶与蛋白质工程,基因与基因组编辑；生物催化,底层工具；生产制造,定点突变；生物催化,学校
上海中华药业有限公司,中国,上海市,2021,1,1,1.0,1,1,1.0,1.0,1,产品与应用,氨基酸与有机酸发酵产品,应用产品,谷氨酸,企业
上海中器环保科技有限公司,中国,上海,2024,1,2,2.0,2,2,2.0,2.0,2,产品与应用,生物能源与燃料,应用产品,生物柴油,企业
上海中器环保科技有限公司,中国,上海,2025,2,4,2.0,2,4,2.0,2.0,2,产品与应用,生物能源与燃料,应用产品,生物柴油,企业
上海中翊日化有限公司,中国,上海,2025,1,1,1.0,1,1,1.0,1.0,1,产品与应用,重组药物与生物活性原料,应用产品,肝素；透明质酸,企业
上海丽舒丹医药科技有限公司,中国,上海,2024,1,2,2.0,2,2,2.0,2.0,2,产品与应用,高值活性分子,应用产品,肌醇,企业
上海久博生物工程有限公司,中国,上海,2024,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,生物反应器,企业
上海乐纯佰鑫生物新材料科技有限公司,中国,上海,2025,1,3,3.0,3,7,7.0,3.0,3,产品与应用,平台化合物,应用产品,一次性生物反应器；生物反应器；聚乳酸；聚羟基脂肪酸酯；衣康酸,企业
上海乐纯生物技术有限公司,中国,上海市,2022,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,发酵罐,企业
上海乐纯生物技术股份有限公司,中国,上海,2024,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,生物反应器,生产制造,生物反应器,企业
上海乘黄纳米抗体科技有限公司,中国,上海,2024,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,下游分离纯化,生产制造,膜分离,企业
上海乾界生物科技有限公司,中国,上海,2024,1,4,4.0,4,5,5.0,4.0,4,生物过程与规模化,发酵工程,生产制造,微生物发酵；柠檬酸；生物发酵；精氨酸；谷氨酸,企业
上海乾界生物科技有限公司,中国,上海,2025,2,3,1.5,2,4,2.0,1.5,2,产品与应用,可降解聚合物；氨基酸与有机酸发酵产品,应用产品,丙酸；柠檬酸；精氨酸；聚乳酸；谷氨酸,企业
上海云未生物科技有限公司,中国,上海市,2023,2,2,1.0,1,2,1.0,1.0,1,产品与应用,重组药物与生物活性原料,应用产品,透明质酸,企业
上海交通大学,中国,上海,2024,21,76,3.619047619047619,4,112,5.333333333333333,3.619047619047619,4,DNA/RNA读写编辑；产品与应用；代谢工程与细胞工厂；底盘细胞与菌株工程；测试筛选与自动化；生物元件与线路；生物过程与规模化；酶与蛋白质工程,下游分离纯化；代谢工程；基因与基因组编辑；基因合成；工业菌种创制；工艺放大与中试；模块化装配；生物催化；生物反应器；表达系统；酶工程；重组药物与生物活性原料；高值活性分子；高通量构建与筛选,应用产品；底层工具；技术平台；生产制造,DNA合成；DNA折纸；丙氨酸；代谢工程；分离纯化；发酵罐；基因合成；基因组装；基因编辑；多基因组装；放大培养；核苷酸；生物催化；生物反应器；生物合成途径；生物转化；精氨酸；组合生物合成；细胞破碎；表达宿主；诱导表达；赖氨酸；透明质酸；酶固定化；酶工程；青蒿素；高产菌株；高通量筛选,"企业,学校；学校；机关团体,学校"
上海交通大学,中国,上海,2025,23,76,3.3043478260869565,5,105,4.565217391304348,3.3043478260869565,5,DNA/RNA读写编辑；产品与应用；代谢工程与细胞工厂；底盘细胞与菌株工程；生物元件与线路；生物过程与规模化；计算设计与AI；酶与蛋白质工程,下游分离纯化；发酵工程；基因与基因组编辑；基因测序；多组学与系统建模；工业菌种创制；标准化生物元件；氨基酸与有机酸发酵产品；生物催化；生物反应器；细胞工厂；重组药物与生物活性原料；高值活性分子,应用产品；底层工具；技术平台；生产制造,CRISPR；DNA合成；丙氨酸；丙酸；分离纯化；单克隆抗体；发酵罐；基因编辑；多组学分析；微生物发酵；微生物细胞工厂；木质纤维素；核糖体结合位点；核苷酸；熊果苷；生物催化；生物反应器；生物发酵；甲硫氨酸；精氨酸；红景天苷；细胞工厂；连续发酵；高产菌株；高通量测序,"企业,学校；学校；学校,企业；学校,学校；学校,科研单位；科研单位,学校"
上海交通大学,中国,上海市,2021,26,80,3.076923076923077,5,106,4.076923076923077,3.076923076923077,5,DNA/RNA读写编辑；产品与应用；代谢工程与细胞工厂；生物制造基础；生物过程与规模化；酶与蛋白质工程,下游分离纯化；代谢工程；发酵工程；合成生物学；基因与基因组编辑；基因合成；氨基酸与有机酸发酵产品；生物催化；生物能源与燃料；表达系统；重组药物与生物活性原料；高值活性分子,应用产品；底层工具；技术平台；生产制造,CRISPR；DNA合成；代谢工程；全细胞催化；分离纯化；单克隆抗体；发酵生产；发酵罐；合成生物学；固态发酵；基因组编辑；基因编辑；定点突变；微生物发酵；柠檬酸；核苷酸；生物发酵；生物基聚合物；生物燃料；甲硫氨酸；肝素；表达宿主；表达盒；谷氨酸,"企业,学校；企业,科研单位,学校；学校"
上海交通大学,中国,上海市,2022,39,134,3.4358974358974357,5,213,5.461538461538462,3.4358974358974357,5,DNA/RNA读写编辑；产品与应用；代谢工程与细胞工厂；底盘细胞与菌株工程；生物制造基础；生物过程与规模化；酶与蛋白质工程,代谢工程；发酵工程；可降解聚合物；合成生物学；基因与基因组编辑；天然产物与精细化学品；工业菌种创制；氨基酸与有机酸发酵产品；生物催化；生物反应器；蛋白质工程；表达系统；过程控制与优化；酶工程；重组药物与生物活性原料；高值活性分子,应用产品；底层工具；技术平台；生产制造,CRISPR；丙氨酸；代谢工程；分泌表达；分离纯化；发酵生产；发酵罐；合成生物学；基因敲除；基因编辑；微生物发酵；木质纤维素；核苷酸；熊果苷；生物催化；生物反应器；生物发酵；生物合成途径；精氨酸；红景天苷；组成型表达；聚乳酸；胶原蛋白；膜生物反应器；苏氨酸；蛋白质工程；补料策略；表达盒；诱导表达；谷氨酸；赖氨酸；连续发酵；透明质酸；酶工程；青蒿素；青蒿素生物合成；高产菌株,"企业,学校；学校；机关团体,学校"
上海交通大学,中国,上海市,2023,24,80,3.3333333333333335,4,110,4.583333333333333,3.3333333333333335,4,DNA/RNA读写编辑；产品与应用；代谢工程与细胞工厂；底盘细胞与菌株工程；测试筛选与自动化；生物过程与规模化；酶与蛋白质工程,下游分离纯化；发酵工程；基因与基因组编辑；天然产物与精细化学品；工业菌种创制；生物催化；生物反应器；菌种选育与诱变；蛋白质工程；表达系统；酶工程；高值活性分子；高通量构建与筛选,应用产品；底层工具；技术平台；生产制造,ARTP；CRISPR；丙酮酸；全细胞催化；分泌表达；分离纯化；发酵罐；基因敲除；基因编辑；定向进化；定点突变；微生物发酵；戊二酸；核苷酸；生物反应器；生物发酵；精氨酸；膜生物反应器；蛋白质工程；表型筛选；表达宿主；谷氨酸；赖氨酸；酶工程；青蒿素；青蒿素生物合成；高产菌株,"企业,学校；学校"
上海交通大学医学院,中国,上海市,2022,1,4,4.0,4,4,4.0,4.0,4,DNA/RNA读写编辑,基因测序,底层工具,DNA测序,学校
上海交通大学医学院,中国,上海市,2023,1,4,4.0,4,4,4.0,4.0,4,DNA/RNA读写编辑,基因与基因组编辑,底层工具,基因编辑；碱基编辑,学校
上海交通大学医学院附属上海儿童医学中心,中国,上海市,2023,2,5,2.5,3,5,2.5,2.5,3,产品与应用；前沿生物制造,干细胞与细胞规模制造；高值活性分子,前沿制造；应用产品,核苷酸；诱导多能干细胞,机关团体
上海交通大学医学院附属仁济医院,中国,上海,2025,2,6,3.0,4,9,4.5,3.0,4,DNA/RNA读写编辑；产品与应用,基因合成；高值活性分子,应用产品；底层工具,DNA合成；DNA合成仪；核苷酸,机关团体
上海交通大学医学院附属仁济医院,中国,上海市,2021,2,8,4.0,4,16,8.0,4.0,4,代谢工程与细胞工厂,代谢工程,技术平台,基因敲除；生物合成途径,机关团体
上海交通大学医学院附属瑞金医院,中国,上海,2025,2,3,1.5,2,3,1.5,1.5,2,产品与应用,平台化合物；重组药物与生物活性原料,应用产品,胶原蛋白；衣康酸,"机关团体；机关团体,科研单位"
上海交通大学医学院附属瑞金医院,中国,上海市,2021,2,8,4.0,4,12,6.0,4.0,4,DNA/RNA读写编辑,基因与基因组编辑,底层工具,基因编辑；核苷酸,"个人,机关团体"
上海交通大学医学院附属瑞金医院,中国,上海市,2022,1,4,4.0,4,6,6.0,4.0,4,DNA/RNA读写编辑,基因与基因组编辑,底层工具,基因编辑；核苷酸,"个人,机关团体"
上海交通大学医学院附属瑞金医院,中国,上海市,2023,1,4,4.0,4,4,4.0,4.0,4,DNA/RNA读写编辑,基因测序,底层工具,基因测序,企业
上海交通大学医学院附属第九人民医院,中国,上海,2024,5,15,3.0,4,21,4.2,3.0,4,产品与应用；前沿生物制造；生物过程与规模化,3D生物打印；生物反应器；组织与器官工程制造；重组药物与生物活性原料,前沿制造；应用产品；生产制造,生物反应器；生物墨水；血管化组织；透明质酸,机关团体
上海交通大学医学院附属第九人民医院,中国,上海,2025,4,11,2.75,4,14,3.5,2.75,4,产品与应用；前沿生物制造；生物过程与规模化,3D生物打印；生物反应器；重组药物与生物活性原料,前沿制造；应用产品；生产制造,3D生物打印；生物反应器；生物墨水；聚乳酸；透明质酸,"机关团体；机关团体,学校"
上海交通大学医学院附属第九人民医院,中国,上海市,2022,2,6,3.0,4,6,3.0,3.0,4,产品与应用；前沿生物制造,3D生物打印；平台化合物,前沿制造；应用产品,3D生物打印；琥珀酸；生物墨水,机关团体
上海交通大学医学院附属第九人民医院,中国,上海市,2023,6,21,3.5,4,21,3.5,3.5,4,DNA/RNA读写编辑；产品与应用；前沿生物制造,3D生物打印；基因与基因组编辑；重组药物与生物活性原料,前沿制造；应用产品；底层工具,3D生物打印；基因编辑；胶原蛋白,"企业,机关团体；机关团体"
上海交通大学重庆研究院,中国,重庆市,2022,1,2,2.0,2,2,2.0,2.0,2,产品与应用,生物能源与燃料,应用产品,生物燃料,科研单位
上海京新生物医药有限公司,中国,上海市,2023,1,4,4.0,4,4,4.0,4.0,4,酶与蛋白质工程,生物催化,生产制造,生物催化,企业
上海仁度生物科技股份有限公司,中国,上海,2025,1,2,2.0,2,2,2.0,2.0,2,产品与应用,高值活性分子,应用产品,核苷酸,企业
上海仁酶生物科技有限公司,中国,上海市,2022,1,4,4.0,4,4,4.0,4.0,4,生物过程与规模化,发酵工程,生产制造,生物发酵,企业
上海今莱生物科技有限公司,中国,上海,2025,1,1,1.0,1,1,1.0,1.0,1,产品与应用,氨基酸与有机酸发酵产品,应用产品,柠檬酸,企业
上海优替济生生物医药有限公司,中国,上海市,2023,1,2,2.0,2,2,2.0,2.0,2,产品与应用,高值活性分子,应用产品,核苷酸,企业
上海伦泽生物科技有限公司,中国,上海市,2021,1,1,1.0,1,1,1.0,1.0,1,产品与应用,重组药物与生物活性原料,应用产品,单克隆抗体,企业
上海伦泽生物科技有限公司,中国,上海市,2022,1,1,1.0,1,1,1.0,1.0,1,产品与应用,重组药物与生物活性原料,应用产品,单克隆抗体,企业
上海伽誉生物科技有限公司,中国,上海,2025,1,1,1.0,1,1,1.0,1.0,1,产品与应用,重组药物与生物活性原料,应用产品,透明质酸,企业
上海佰莱美生物科技有限公司,中国,上海市,2023,1,4,4.0,4,4,4.0,4.0,4,生物过程与规模化,发酵工程,生产制造,生物发酵,企业
上海侬本雅生物科技有限公司,中国,上海,2024,1,3,3.0,3,3,3.0,3.0,3,生物过程与规模化,下游分离纯化,生产制造,膜过滤,"企业,学校"
上海倍谙基生物科技有限公司,中国,上海市,2021,1,2,2.0,2,3,3.0,2.0,2,产品与应用,高值活性分子,应用产品,丙氨酸；丙酮酸；柠檬酸；甲硫氨酸；精氨酸；肌醇；苏氨酸；谷氨酸；赖氨酸,企业
上海健士拜生物科技有限公司,中国,上海市,2023,2,8,4.0,5,12,6.0,4.0,5,代谢工程与细胞工厂；生物过程与规模化,下游分离纯化；细胞工厂,技术平台；生产制造,下游纯化；丙氨酸；丙酮酸；甲硫氨酸；精氨酸；细胞工厂；膜过滤；苏氨酸；谷氨酸；赖氨酸；超滤浓缩,企业
