关键词,技术领域,细分方向,产业板块,核心程度得分,匹配类型,上下文要求,来源类型
氦三燃料,基础与反应物理,聚变燃料,燃料循环,4,core,无需上下文,附件论文/ITER/IAEA
硼十一燃料,基础与反应物理,聚变燃料,燃料循环,4,core,无需上下文,附件论文/ITER/IAEA
聚变燃料丸,基础与反应物理,聚变燃料,燃料循环,4,core,无需上下文,附件论文/ITER/IAEA
聚变靶丸,基础与反应物理,聚变燃料,燃料循环,4,core,无需上下文,附件论文/ITER/IAEA
托卡马克,磁约束路线,托卡马克,聚变装置与系统,5,core,无需上下文,附件论文/ITER/中科院/资本研报
托克马克,磁约束路线,托卡马克,聚变装置与系统,5,core,无需上下文,附件论文/ITER/中科院/资本研报
Tokamak,磁约束路线,托卡马克,聚变装置与系统,5,core,无需上下文,附件论文/ITER/中科院/资本研报
环形磁约束聚变,磁约束路线,托卡马克,聚变装置与系统,5,core,无需上下文,附件论文/ITER/中科院/资本研报
全超导托卡马克,磁约束路线,托卡马克,聚变装置与系统,5,core,无需上下文,附件论文/ITER/中科院/资本研报
紧凑型托卡马克,磁约束路线,托卡马克,聚变装置与系统,5,core,无需上下文,附件论文/ITER/中科院/资本研报
先进托卡马克,磁约束路线,托卡马克,聚变装置与系统,5,core,无需上下文,附件论文/ITER/中科院/资本研报
稳态托卡马克,磁约束路线,托卡马克,聚变装置与系统,5,core,无需上下文,附件论文/ITER/中科院/资本研报
EAST装置,磁约束路线,托卡马克,聚变装置与系统,5,core,无需上下文,附件论文/ITER/中科院/资本研报
CFETR,磁约束路线,托卡马克,聚变装置与系统,5,core,无需上下文,附件论文/ITER/中科院/资本研报
ITER,磁约束路线,托卡马克,聚变装置与系统,5,core,无需上下文,附件论文/ITER/中科院/资本研报
DEMO聚变堆,磁约束路线,托卡马克,聚变装置与系统,5,core,无需上下文,附件论文/ITER/中科院/资本研报
SPARC聚变,磁约束路线,托卡马克,聚变装置与系统,5,core,无需上下文,附件论文/ITER/中科院/资本研报
BEST聚变装置,磁约束路线,托卡马克,聚变装置与系统,5,core,无需上下文,附件论文/ITER/中科院/资本研报
球形托卡马克,磁约束路线,球形托卡马克,聚变装置与系统,5,core,无需上下文,附件论文/UKAEA/资本研报
球状托卡马克,磁约束路线,球形托卡马克,聚变装置与系统,5,core,无需上下文,附件论文/UKAEA/资本研报
紧凑球形托卡马克,磁约束路线,球形托卡马克,聚变装置与系统,5,core,无需上下文,附件论文/UKAEA/资本研报
低环径比托卡马克,磁约束路线,球形托卡马克,聚变装置与系统,5,core,无需上下文,附件论文/UKAEA/资本研报
STEP聚变堆,磁约束路线,球形托卡马克,聚变装置与系统,5,core,无需上下文,附件论文/UKAEA/资本研报
MAST-U,磁约束路线,球形托卡马克,聚变装置与系统,5,core,无需上下文,附件论文/UKAEA/资本研报
仿星器,磁约束路线,仿星器,聚变装置与系统,5,core,无需上下文,附件论文/IAEA/资本研报
仿星器聚变,磁约束路线,仿星器,聚变装置与系统,5,core,无需上下文,附件论文/IAEA/资本研报
螺旋器,磁约束路线,仿星器,聚变装置与系统,5,core,无需上下文,附件论文/IAEA/资本研报
准轴对称仿星器,磁约束路线,仿星器,聚变装置与系统,5,core,无需上下文,附件论文/IAEA/资本研报
准等磁仿星器,磁约束路线,仿星器,聚变装置与系统,5,core,无需上下文,附件论文/IAEA/资本研报
模块化线圈仿星器,磁约束路线,仿星器,聚变装置与系统,5,core,无需上下文,附件论文/IAEA/资本研报
W7-X,磁约束路线,仿星器,聚变装置与系统,5,core,无需上下文,附件论文/IAEA/资本研报
LHD仿星器,磁约束路线,仿星器,聚变装置与系统,5,core,无需上下文,附件论文/IAEA/资本研报
磁镜聚变,磁约束路线,磁镜与反场构型,聚变装置与系统,5,core,无需上下文,附件论文/IAEA/行业研究
磁镜装置,磁约束路线,磁镜与反场构型,聚变装置与系统,5,core,无需上下文,附件论文/IAEA/行业研究
串联磁镜,磁约束路线,磁镜与反场构型,聚变装置与系统,5,core,无需上下文,附件论文/IAEA/行业研究
开端磁约束,磁约束路线,磁镜与反场构型,聚变装置与系统,5,core,无需上下文,附件论文/IAEA/行业研究
反场箍缩,磁约束路线,磁镜与反场构型,聚变装置与系统,5,core,无需上下文,附件论文/IAEA/行业研究
反向场箍缩,磁约束路线,磁镜与反场构型,聚变装置与系统,5,core,无需上下文,附件论文/IAEA/行业研究
RFP聚变,磁约束路线,磁镜与反场构型,聚变装置与系统,5,core,无需上下文,附件论文/IAEA/行业研究
场反位形,磁约束路线,磁镜与反场构型,聚变装置与系统,5,core,无需上下文,附件论文/IAEA/行业研究
场反构型,磁约束路线,磁镜与反场构型,聚变装置与系统,5,core,无需上下文,附件论文/IAEA/行业研究
FRC聚变,磁约束路线,磁镜与反场构型,聚变装置与系统,5,core,无需上下文,附件论文/IAEA/行业研究
球马克,磁约束路线,磁镜与反场构型,聚变装置与系统,5,core,无需上下文,附件论文/IAEA/行业研究
Spheromak,磁约束路线,磁镜与反场构型,聚变装置与系统,5,core,无需上下文,附件论文/IAEA/行业研究
惯性约束聚变,惯性约束路线,激光惯性约束,聚变装置与系统,5,core,无需上下文,附件论文/IAEA/科研机构
激光聚变,惯性约束路线,激光惯性约束,聚变装置与系统,5,core,无需上下文,附件论文/IAEA/科研机构
激光惯性约束聚变,惯性约束路线,激光惯性约束,聚变装置与系统,5,core,无需上下文,附件论文/IAEA/科研机构
ICF聚变,惯性约束路线,激光惯性约束,聚变装置与系统,5,core,无需上下文,附件论文/IAEA/科研机构
直接驱动聚变,惯性约束路线,激光惯性约束,聚变装置与系统,5,core,无需上下文,附件论文/IAEA/科研机构
间接驱动聚变,惯性约束路线,激光惯性约束,聚变装置与系统,5,core,无需上下文,附件论文/IAEA/科研机构
中心点火,惯性约束路线,激光惯性约束,聚变装置与系统,5,core,无需上下文,附件论文/IAEA/科研机构
快点火,惯性约束路线,激光惯性约束,聚变装置与系统,5,core,无需上下文,附件论文/IAEA/科研机构
冲击点火,惯性约束路线,激光惯性约束,聚变装置与系统,5,core,无需上下文,附件论文/IAEA/科研机构
国家点火装置,惯性约束路线,激光惯性约束,聚变装置与系统,5,core,无需上下文,附件论文/IAEA/科研机构
NIF聚变,惯性约束路线,激光惯性约束,聚变装置与系统,5,core,无需上下文,附件论文/IAEA/科研机构
聚变靶,惯性约束路线,靶物理与靶制备,惯性聚变关键部件,4,core,无需上下文,附件论文/科研机构补充
聚变靶丸,惯性约束路线,靶物理与靶制备,惯性聚变关键部件,4,core,无需上下文,附件论文/科研机构补充
聚变冷冻靶丸,惯性约束路线,靶物理与靶制备,惯性聚变关键部件,4,core,无需上下文,附件论文/科研机构补充
聚变微球,惯性约束路线,靶物理与靶制备,惯性聚变关键部件,4,core,无需上下文,附件论文/科研机构补充
氘氚冰层,惯性约束路线,靶物理与靶制备,惯性聚变关键部件,4,core,无需上下文,附件论文/科研机构补充
聚变靶丸注入,惯性约束路线,靶物理与靶制备,惯性聚变关键部件,4,core,无需上下文,附件论文/科研机构补充
聚变靶丸跟踪,惯性约束路线,靶物理与靶制备,惯性聚变关键部件,4,core,无需上下文,附件论文/科研机构补充
聚变黑腔靶,惯性约束路线,靶物理与靶制备,惯性聚变关键部件,4,core,无需上下文,附件论文/科研机构补充
聚变黑腔,惯性约束路线,靶物理与靶制备,惯性聚变关键部件,4,core,无需上下文,附件论文/科研机构补充
聚变烧蚀层,惯性约束路线,靶物理与靶制备,惯性聚变关键部件,4,core,无需上下文,附件论文/科研机构补充
聚变内爆对称性,惯性约束路线,靶物理与靶制备,惯性聚变关键部件,4,core,无需上下文,附件论文/科研机构补充
聚变靶压缩,惯性约束路线,靶物理与靶制备,惯性聚变关键部件,4,core,无需上下文,附件论文/科研机构补充
内爆聚变,惯性约束路线,靶物理与靶制备,惯性聚变关键部件,4,core,无需上下文,附件论文/科研机构补充
聚变驱动激光器,惯性约束路线,驱动器,惯性聚变关键部件,4,core,无需上下文,科研机构/资本研报
高功率聚变激光,惯性约束路线,驱动器,惯性聚变关键部件,4,core,无需上下文,科研机构/资本研报
聚变高能激光驱动,惯性约束路线,驱动器,惯性聚变关键部件,4,core,无需上下文,科研机构/资本研报
聚变激光束匀滑,惯性约束路线,驱动器,惯性聚变关键部件,4,core,无需上下文,科研机构/资本研报
聚变激光脉冲整形,惯性约束路线,驱动器,惯性聚变关键部件,4,core,无需上下文,科研机构/资本研报
聚变激光频率转换,惯性约束路线,驱动器,惯性聚变关键部件,4,core,无需上下文,科研机构/资本研报
重离子驱动聚变,惯性约束路线,驱动器,惯性聚变关键部件,4,core,无需上下文,科研机构/资本研报
离子束聚变驱动,惯性约束路线,驱动器,惯性聚变关键部件,4,core,无需上下文,科研机构/资本研报
Z箍缩驱动聚变,惯性约束路线,驱动器,惯性聚变关键部件,4,core,无需上下文,科研机构/资本研报
磁化靶聚变,磁惯性与其他路线,磁化靶聚变,聚变装置与系统,5,core,无需上下文,附件论文/IAEA行业数据库
磁化目标聚变,磁惯性与其他路线,磁化靶聚变,聚变装置与系统,5,core,无需上下文,附件论文/IAEA行业数据库
磁惯性聚变,磁惯性与其他路线,磁化靶聚变,聚变装置与系统,5,core,无需上下文,附件论文/IAEA行业数据库
磁惯性约束聚变,磁惯性与其他路线,磁化靶聚变,聚变装置与系统,5,core,无需上下文,附件论文/IAEA行业数据库
MTF聚变,磁惯性与其他路线,磁化靶聚变,聚变装置与系统,5,core,无需上下文,附件论文/IAEA行业数据库
等离子体内衬聚变,磁惯性与其他路线,磁化靶聚变,聚变装置与系统,5,core,无需上下文,附件论文/IAEA行业数据库
液态金属内衬压缩,磁惯性与其他路线,磁化靶聚变,聚变装置与系统,5,core,无需上下文,附件论文/IAEA行业数据库
Z箍缩聚变,磁惯性与其他路线,Z箍缩与等离子焦点,聚变装置与系统,5,core,无需上下文,附件论文/科研资料
Z-pinch聚变,磁惯性与其他路线,Z箍缩与等离子焦点,聚变装置与系统,5,core,无需上下文,附件论文/科研资料
剪切流稳定Z箍缩,磁惯性与其他路线,Z箍缩与等离子焦点,聚变装置与系统,5,core,无需上下文,附件论文/科研资料
等离子体箍缩,磁惯性与其他路线,Z箍缩与等离子焦点,聚变装置与系统,5,core,无需上下文,附件论文/科研资料
致密等离子体焦点,磁惯性与其他路线,Z箍缩与等离子焦点,聚变装置与系统,5,core,无需上下文,附件论文/科研资料
稠密等离子体焦点,磁惯性与其他路线,Z箍缩与等离子焦点,聚变装置与系统,5,core,无需上下文,附件论文/科研资料
DPF聚变,磁惯性与其他路线,Z箍缩与等离子焦点,聚变装置与系统,5,core,无需上下文,附件论文/科研资料
脉冲聚变,磁惯性与其他路线,Z箍缩与等离子焦点,聚变装置与系统,5,core,无需上下文,附件论文/科研资料
惯性静电约束聚变,磁惯性与其他路线,惯性静电与束靶,聚变装置与系统,4,core,无需上下文,附件论文/IAEA行业数据库
IEC聚变,磁惯性与其他路线,惯性静电与束靶,聚变装置与系统,4,core,无需上下文,附件论文/IAEA行业数据库
静电约束聚变,磁惯性与其他路线,惯性静电与束靶,聚变装置与系统,4,core,无需上下文,附件论文/IAEA行业数据库
Fusor,磁惯性与其他路线,惯性静电与束靶,聚变装置与系统,4,core,无需上下文,附件论文/IAEA行业数据库
聚变中子管,磁惯性与其他路线,惯性静电与束靶,聚变装置与系统,4,core,无需上下文,附件论文/IAEA行业数据库
束靶聚变,磁惯性与其他路线,惯性静电与束靶,聚变装置与系统,4,core,无需上下文,附件论文/IAEA行业数据库
碰撞束聚变,磁惯性与其他路线,惯性静电与束靶,聚变装置与系统,4,core,无需上下文,附件论文/IAEA行业数据库
非热聚变,磁惯性与其他路线,惯性静电与束靶,聚变装置与系统,4,core,无需上下文,附件论文/IAEA行业数据库
聚变超导磁体,磁体与超导系统,超导磁体系统,主机关键系统,4,core,无需上下文,附件论文/ITER/资本研报
聚变磁体系统,磁体与超导系统,超导磁体系统,主机关键系统,4,core,无需上下文,附件论文/ITER/资本研报
高场聚变磁体,磁体与超导系统,超导磁体系统,主机关键系统,4,core,无需上下文,附件论文/ITER/资本研报
强磁场聚变,磁体与超导系统,超导磁体系统,主机关键系统,4,core,无需上下文,附件论文/ITER/资本研报
环向场线圈,磁体与超导系统,超导磁体系统,主机关键系统,4,core,无需上下文,附件论文/ITER/资本研报
极向场线圈,磁体与超导系统,超导磁体系统,主机关键系统,4,core,无需上下文,附件论文/ITER/资本研报
中心螺线管,磁体与超导系统,超导磁体系统,主机关键系统,4,core,无需上下文,附件论文/ITER/资本研报
校正场线圈,磁体与超导系统,超导磁体系统,主机关键系统,4,core,无需上下文,附件论文/ITER/资本研报
TF线圈,磁体与超导系统,超导磁体系统,主机关键系统,4,core,无需上下文,附件论文/ITER/资本研报
PF线圈,磁体与超导系统,超导磁体系统,主机关键系统,4,core,无需上下文,附件论文/ITER/资本研报
CS线圈,磁体与超导系统,超导磁体系统,主机关键系统,4,core,无需上下文,附件论文/ITER/资本研报
磁体馈线,磁体与超导系统,超导磁体系统,主机关键系统,4,core,无需上下文,附件论文/ITER/资本研报
聚变高温超导磁体,磁体与超导系统,高温超导磁体,主机关键系统,5,core,无需上下文,附件论文/MIT-CFS论文/资本研报
高温超导聚变磁体,磁体与超导系统,高温超导磁体,主机关键系统,5,core,无需上下文,附件论文/MIT-CFS论文/资本研报
REBCO聚变磁体,磁体与超导系统,高温超导磁体,主机关键系统,5,core,无需上下文,附件论文/MIT-CFS论文/资本研报
REBCO带材磁体,磁体与超导系统,高温超导磁体,主机关键系统,5,core,无需上下文,附件论文/MIT-CFS论文/资本研报
稀土钡铜氧聚变磁体,磁体与超导系统,高温超导磁体,主机关键系统,5,core,无需上下文,附件论文/MIT-CFS论文/资本研报
20T聚变磁体,磁体与超导系统,高温超导磁体,主机关键系统,5,core,无需上下文,附件论文/MIT-CFS论文/资本研报
无绝缘聚变磁体,磁体与超导系统,高温超导磁体,主机关键系统,5,core,无需上下文,附件论文/MIT-CFS论文/资本研报
可拆卸聚变磁体,磁体与超导系统,高温超导磁体,主机关键系统,5,core,无需上下文,附件论文/MIT-CFS论文/资本研报
Nb3Sn聚变磁体,磁体与超导系统,低温超导导体,关键材料与部件,4,contextual,需核聚变上下文,ITER/资本研报
NbTi聚变磁体,磁体与超导系统,低温超导导体,关键材料与部件,4,contextual,需核聚变上下文,ITER/资本研报
铌三锡超导线,磁体与超导系统,低温超导导体,关键材料与部件,4,contextual,需核聚变上下文,ITER/资本研报
铌钛超导线,磁体与超导系统,低温超导导体,关键材料与部件,4,contextual,需核聚变上下文,ITER/资本研报
管内电缆导体,磁体与超导系统,低温超导导体,关键材料与部件,4,contextual,需核聚变上下文,ITER/资本研报
CICC导体,磁体与超导系统,低温超导导体,关键材料与部件,4,contextual,需核聚变上下文,ITER/资本研报
超导股线,磁体与超导系统,低温超导导体,关键材料与部件,4,contextual,需核聚变上下文,ITER/资本研报
超导缆线,磁体与超导系统,低温超导导体,关键材料与部件,4,contextual,需核聚变上下文,ITER/资本研报
超导接头,磁体与超导系统,低温超导导体,关键材料与部件,4,contextual,需核聚变上下文,ITER/资本研报
聚变磁体失超保护,磁体与超导系统,磁体保护与低温,主机关键系统,4,contextual,需核聚变上下文,ITER/科研论文
聚变磁体淬火,磁体与超导系统,磁体保护与低温,主机关键系统,4,contextual,需核聚变上下文,ITER/科研论文
失超探测,磁体与超导系统,磁体保护与低温,主机关键系统,4,contextual,需核聚变上下文,ITER/科研论文
磁体机械应力,磁体与超导系统,磁体保护与低温,主机关键系统,4,contextual,需核聚变上下文,ITER/科研论文
超导线圈预紧,磁体与超导系统,磁体保护与低温,主机关键系统,4,contextual,需核聚变上下文,ITER/科研论文
聚变磁体低温系统,磁体与超导系统,磁体保护与低温,主机关键系统,4,contextual,需核聚变上下文,ITER/科研论文
超临界氦冷却,磁体与超导系统,磁体保护与低温,主机关键系统,4,contextual,需核聚变上下文,ITER/科研论文
磁体低温恒温器,磁体与超导系统,磁体保护与低温,主机关键系统,4,contextual,需核聚变上下文,ITER/科研论文
聚变磁体电源,磁体与超导系统,磁体保护与低温,主机关键系统,4,contextual,需核聚变上下文,ITER/科研论文
聚变中性束注入,等离子体加热与驱动,中性束注入,主机关键系统,4,core,无需上下文,附件论文/ITER
聚变中性束加热,等离子体加热与驱动,中性束注入,主机关键系统,4,core,无需上下文,附件论文/ITER
聚变中性束电流驱动,等离子体加热与驱动,中性束注入,主机关键系统,4,core,无需上下文,附件论文/ITER
NBI加热,等离子体加热与驱动,中性束注入,主机关键系统,4,core,无需上下文,附件论文/ITER
聚变负离子中性束,等离子体加热与驱动,中性束注入,主机关键系统,4,core,无需上下文,附件论文/ITER
聚变中性束注入器,等离子体加热与驱动,中性束注入,主机关键系统,4,core,无需上下文,附件论文/ITER
聚变负离子束源,等离子体加热与驱动,中性束注入,主机关键系统,4,core,无需上下文,附件论文/ITER
聚变中性束中和器,等离子体加热与驱动,中性束注入,主机关键系统,4,core,无需上下文,附件论文/ITER
电子回旋共振加热,等离子体加热与驱动,电子回旋,主机关键系统,4,core,无需上下文,附件论文/ITER
电子回旋加热,等离子体加热与驱动,电子回旋,主机关键系统,4,core,无需上下文,附件论文/ITER
电子回旋电流驱动,等离子体加热与驱动,电子回旋,主机关键系统,4,core,无需上下文,附件论文/ITER
ECRH,等离子体加热与驱动,电子回旋,主机关键系统,4,core,无需上下文,附件论文/ITER
ECCD,等离子体加热与驱动,电子回旋,主机关键系统,4,core,无需上下文,附件论文/ITER
毫米波等离子体加热,等离子体加热与驱动,电子回旋,主机关键系统,4,core,无需上下文,附件论文/ITER
聚变回旋管,等离子体加热与驱动,电子回旋,主机关键系统,4,core,无需上下文,附件论文/ITER
兆瓦级回旋管,等离子体加热与驱动,电子回旋,主机关键系统,4,core,无需上下文,附件论文/ITER
离子回旋共振加热,等离子体加热与驱动,离子回旋与低杂波,主机关键系统,4,core,无需上下文,附件论文/ITER
离子回旋加热,等离子体加热与驱动,离子回旋与低杂波,主机关键系统,4,core,无需上下文,附件论文/ITER
ICRH,等离子体加热与驱动,离子回旋与低杂波,主机关键系统,4,core,无需上下文,附件论文/ITER
ICRF,等离子体加热与驱动,离子回旋与低杂波,主机关键系统,4,core,无需上下文,附件论文/ITER
低杂波电流驱动,等离子体加热与驱动,离子回旋与低杂波,主机关键系统,4,core,无需上下文,附件论文/ITER
低杂波加热,等离子体加热与驱动,离子回旋与低杂波,主机关键系统,4,core,无需上下文,附件论文/ITER
LHCD,等离子体加热与驱动,离子回旋与低杂波,主机关键系统,4,core,无需上下文,附件论文/ITER
低杂波天线,等离子体加热与驱动,离子回旋与低杂波,主机关键系统,4,core,无需上下文,附件论文/ITER
射频聚变加热,等离子体加热与驱动,离子回旋与低杂波,主机关键系统,4,core,无需上下文,附件论文/ITER
欧姆加热,等离子体加热与驱动,欧姆与燃料注入,主机关键系统,3,contextual,需核聚变上下文,ITER/科研机构
感应电流驱动,等离子体加热与驱动,欧姆与燃料注入,主机关键系统,3,contextual,需核聚变上下文,ITER/科研机构
聚变气体注入,等离子体加热与驱动,欧姆与燃料注入,主机关键系统,3,contextual,需核聚变上下文,ITER/科研机构
聚变燃料加注,等离子体加热与驱动,欧姆与燃料注入,主机关键系统,3,contextual,需核聚变上下文,ITER/科研机构
高速弹丸注入,等离子体加热与驱动,欧姆与燃料注入,主机关键系统,3,contextual,需核聚变上下文,ITER/科研机构
冷冻弹丸注入,等离子体加热与驱动,欧姆与燃料注入,主机关键系统,3,contextual,需核聚变上下文,ITER/科研机构
氘氚丸注入,等离子体加热与驱动,欧姆与燃料注入,主机关键系统,3,contextual,需核聚变上下文,ITER/科研机构
燃料丸注入器,等离子体加热与驱动,欧姆与燃料注入,主机关键系统,3,contextual,需核聚变上下文,ITER/科研机构
聚变等离子体平衡控制,等离子体控制与诊断,平衡与输运控制,控制诊断,4,core,无需上下文,附件论文/ITER/科研机构
等离子体位形控制,等离子体控制与诊断,平衡与输运控制,控制诊断,4,core,无需上下文,附件论文/ITER/科研机构
等离子体形状控制,等离子体控制与诊断,平衡与输运控制,控制诊断,4,core,无需上下文,附件论文/ITER/科研机构
等离子体位置控制,等离子体控制与诊断,平衡与输运控制,控制诊断,4,core,无需上下文,附件论文/ITER/科研机构
等离子体电流控制,等离子体控制与诊断,平衡与输运控制,控制诊断,4,core,无需上下文,附件论文/ITER/科研机构
等离子体剖面控制,等离子体控制与诊断,平衡与输运控制,控制诊断,4,core,无需上下文,附件论文/ITER/科研机构
聚变输运模拟,等离子体控制与诊断,平衡与输运控制,控制诊断,4,core,无需上下文,附件论文/ITER/科研机构
托卡马克输运,等离子体控制与诊断,平衡与输运控制,控制诊断,4,core,无需上下文,附件论文/ITER/科研机构
边界等离子体,等离子体控制与诊断,平衡与输运控制,控制诊断,4,core,无需上下文,附件论文/ITER/科研机构
聚变等离子体破裂,等离子体控制与诊断,不稳定性与破裂,控制诊断,4,core,无需上下文,附件论文/ITER
托卡马克破裂,等离子体控制与诊断,不稳定性与破裂,控制诊断,4,core,无需上下文,附件论文/ITER
破裂缓解系统,等离子体控制与诊断,不稳定性与破裂,控制诊断,4,core,无需上下文,附件论文/ITER
大规模气体注入,等离子体控制与诊断,不稳定性与破裂,控制诊断,4,core,无需上下文,附件论文/ITER
碎片弹丸注入,等离子体控制与诊断,不稳定性与破裂,控制诊断,4,core,无需上下文,附件论文/ITER
逃逸电子抑制,等离子体控制与诊断,不稳定性与破裂,控制诊断,4,core,无需上下文,附件论文/ITER
磁流体不稳定性,等离子体控制与诊断,不稳定性与破裂,控制诊断,4,core,无需上下文,附件论文/ITER
撕裂模,等离子体控制与诊断,不稳定性与破裂,控制诊断,4,core,无需上下文,附件论文/ITER
电阻壁模,等离子体控制与诊断,不稳定性与破裂,控制诊断,4,core,无需上下文,附件论文/ITER
锯齿振荡,等离子体控制与诊断,不稳定性与破裂,控制诊断,4,core,无需上下文,附件论文/ITER
边缘局域模,等离子体控制与诊断,不稳定性与破裂,控制诊断,4,core,无需上下文,附件论文/ITER
ELM抑制,等离子体控制与诊断,不稳定性与破裂,控制诊断,4,core,无需上下文,附件论文/ITER
聚变等离子体诊断,等离子体控制与诊断,诊断测量,控制诊断,4,contextual,需核聚变上下文,附件论文/ITER
托卡马克诊断,等离子体控制与诊断,诊断测量,控制诊断,4,contextual,需核聚变上下文,附件论文/ITER
汤姆孙散射诊断,等离子体控制与诊断,诊断测量,控制诊断,4,contextual,需核聚变上下文,附件论文/ITER
干涉仪诊断,等离子体控制与诊断,诊断测量,控制诊断,4,contextual,需核聚变上下文,附件论文/ITER
偏振仪诊断,等离子体控制与诊断,诊断测量,控制诊断,4,contextual,需核聚变上下文,附件论文/ITER
软X射线诊断,等离子体控制与诊断,诊断测量,控制诊断,4,contextual,需核聚变上下文,附件论文/ITER
轫致辐射诊断,等离子体控制与诊断,诊断测量,控制诊断,4,contextual,需核聚变上下文,附件论文/ITER
辐射热计,等离子体控制与诊断,诊断测量,控制诊断,4,contextual,需核聚变上下文,附件论文/ITER
磁探针诊断,等离子体控制与诊断,诊断测量,控制诊断,4,contextual,需核聚变上下文,附件论文/ITER
电子温度诊断,等离子体控制与诊断,诊断测量,控制诊断,4,contextual,需核聚变上下文,附件论文/ITER
离子温度诊断,等离子体控制与诊断,诊断测量,控制诊断,4,contextual,需核聚变上下文,附件论文/ITER
等离子体密度诊断,等离子体控制与诊断,诊断测量,控制诊断,4,contextual,需核聚变上下文,附件论文/ITER
聚变中子诊断,等离子体控制与诊断,聚变中子与粒子诊断,控制诊断,4,core,无需上下文,附件论文/ITER
氘氚中子诊断,等离子体控制与诊断,聚变中子与粒子诊断,控制诊断,4,core,无需上下文,附件论文/ITER
