关键词,技术领域,细分方向,产业板块,核心程度得分,匹配类型,上下文要求,来源类型
ITU-R M.2160,基础概念与标准体系,标准与版本,标准与试验,4,core,无需上下文；领域锚点本身只给低分,TDIA2025/ITU/3GPP
Release 20 6G,基础概念与标准体系,标准与版本,标准与试验,4,core,无需上下文；领域锚点本身只给低分,TDIA2025/ITU/3GPP
Rel-20 6G,基础概念与标准体系,标准与版本,标准与试验,4,core,无需上下文；领域锚点本身只给低分,TDIA2025/ITU/3GPP
Release 21 6G,基础概念与标准体系,标准与版本,标准与试验,4,core,无需上下文；领域锚点本身只给低分,TDIA2025/ITU/3GPP
Rel-21 6G,基础概念与标准体系,标准与版本,标准与试验,4,core,无需上下文；领域锚点本身只给低分,TDIA2025/ITU/3GPP
6G RIT,基础概念与标准体系,标准与版本,标准与试验,4,core,无需上下文；领域锚点本身只给低分,TDIA2025/ITU/3GPP
6G无线接口技术提案,基础概念与标准体系,标准与版本,标准与试验,4,core,无需上下文；领域锚点本身只给低分,TDIA2025/ITU/3GPP
6G沉浸式通信,场景与关键能力,沉浸式通信,下游应用,3,core,无需上下文；领域锚点本身只给低分,两份附件/ITU
沉浸式通信IC,场景与关键能力,沉浸式通信,下游应用,3,core,无需上下文；领域锚点本身只给低分,两份附件/ITU
沉浸式云XR,场景与关键能力,沉浸式通信,下游应用,3,core,无需上下文；领域锚点本身只给低分,两份附件/ITU
6G云XR,场景与关键能力,沉浸式通信,下游应用,3,core,无需上下文；领域锚点本身只给低分,两份附件/ITU
6G扩展现实,场景与关键能力,沉浸式通信,下游应用,3,core,无需上下文；领域锚点本身只给低分,两份附件/ITU
6G全息通信,场景与关键能力,沉浸式通信,下游应用,3,core,无需上下文；领域锚点本身只给低分,两份附件/ITU
6G多感官通信,场景与关键能力,沉浸式通信,下游应用,3,core,无需上下文；领域锚点本身只给低分,两份附件/ITU
6G感官互联,场景与关键能力,沉浸式通信,下游应用,3,core,无需上下文；领域锚点本身只给低分,两份附件/ITU
临场通信,场景与关键能力,沉浸式通信,下游应用,3,core,无需上下文；领域锚点本身只给低分,两份附件/ITU
多感官XR,场景与关键能力,沉浸式通信,下游应用,3,core,无需上下文；领域锚点本身只给低分,两份附件/ITU
6G超可靠低时延通信,场景与关键能力,超可靠低时延,中游网络,4,core,无需上下文；领域锚点本身只给低分,两份附件/ITU
6G极其可靠通信,场景与关键能力,超可靠低时延,中游网络,4,core,无需上下文；领域锚点本身只给低分,两份附件/ITU
HRLLC,场景与关键能力,超可靠低时延,中游网络,4,core,无需上下文；领域锚点本身只给低分,两份附件/ITU
6G亚毫秒时延,场景与关键能力,超可靠低时延,中游网络,4,core,无需上下文；领域锚点本身只给低分,两份附件/ITU
6G七个九可靠性,场景与关键能力,超可靠低时延,中游网络,4,core,无需上下文；领域锚点本身只给低分,两份附件/ITU
6G确定性低时延,场景与关键能力,超可靠低时延,中游网络,4,core,无需上下文；领域锚点本身只给低分,两份附件/ITU
6G高可靠通信,场景与关键能力,超可靠低时延,中游网络,4,core,无需上下文；领域锚点本身只给低分,两份附件/ITU
6G超低时延通信,场景与关键能力,超可靠低时延,中游网络,4,core,无需上下文；领域锚点本身只给低分,两份附件/ITU
6G海量通信,场景与关键能力,海量通信,中游网络,3,core,无需上下文；领域锚点本身只给低分,两份附件/ITU
6G超大规模连接,场景与关键能力,海量通信,中游网络,3,core,无需上下文；领域锚点本身只给低分,两份附件/ITU
6G海量机器通信,场景与关键能力,海量通信,中游网络,3,core,无需上下文；领域锚点本身只给低分,两份附件/ITU
6G千万级连接,场景与关键能力,海量通信,中游网络,3,core,无需上下文；领域锚点本身只给低分,两份附件/ITU
Massive Communication 6G,场景与关键能力,海量通信,中游网络,3,core,无需上下文；领域锚点本身只给低分,两份附件/ITU
6G千亿物联,场景与关键能力,海量通信,中游网络,3,core,无需上下文；领域锚点本身只给低分,两份附件/ITU
6G泛在物联,场景与关键能力,海量通信,中游网络,3,core,无需上下文；领域锚点本身只给低分,两份附件/ITU
6G海量接入,场景与关键能力,海量通信,中游网络,3,core,无需上下文；领域锚点本身只给低分,两份附件/ITU
6G泛在连接,场景与关键能力,泛在连接,中游网络,4,core,无需上下文；领域锚点本身只给低分,两份附件/ITU
6G全域覆盖,场景与关键能力,泛在连接,中游网络,4,core,无需上下文；领域锚点本身只给低分,两份附件/ITU
6G全球无缝覆盖,场景与关键能力,泛在连接,中游网络,4,core,无需上下文；领域锚点本身只给低分,两份附件/ITU
6G立体覆盖,场景与关键能力,泛在连接,中游网络,4,core,无需上下文；领域锚点本身只给低分,两份附件/ITU
Ubiquitous Connectivity 6G,场景与关键能力,泛在连接,中游网络,4,core,无需上下文；领域锚点本身只给低分,两份附件/ITU
6G地理全覆盖,场景与关键能力,泛在连接,中游网络,4,core,无需上下文；领域锚点本身只给低分,两份附件/ITU
6G空天地海覆盖,场景与关键能力,泛在连接,中游网络,4,core,无需上下文；领域锚点本身只给低分,两份附件/ITU
6G按需覆盖,场景与关键能力,泛在连接,中游网络,4,core,无需上下文；领域锚点本身只给低分,两份附件/ITU
6G通信与人工智能融合,场景与关键能力,通信与AI,中游网络,4,core,无需上下文；领域锚点本身只给低分,两份附件/ITU/3GPP
6G AI与通信,场景与关键能力,通信与AI,中游网络,4,core,无需上下文；领域锚点本身只给低分,两份附件/ITU/3GPP
AIAC,场景与关键能力,通信与AI,中游网络,4,core,无需上下文；领域锚点本身只给低分,两份附件/ITU/3GPP
AI and Communication 6G,场景与关键能力,通信与AI,中游网络,4,core,无需上下文；领域锚点本身只给低分,两份附件/ITU/3GPP
6G普惠智能,场景与关键能力,通信与AI,中游网络,4,core,无需上下文；领域锚点本身只给低分,两份附件/ITU/3GPP
6G智能服务,场景与关键能力,通信与AI,中游网络,4,core,无需上下文；领域锚点本身只给低分,两份附件/ITU/3GPP
6G移动智能,场景与关键能力,通信与AI,中游网络,4,core,无需上下文；领域锚点本身只给低分,两份附件/ITU/3GPP
6G泛在智能,场景与关键能力,通信与AI,中游网络,4,core,无需上下文；领域锚点本身只给低分,两份附件/ITU/3GPP
6G通信感知融合,场景与关键能力,通信与感知,中游空口,5,core,无需上下文；领域锚点本身只给低分,两份附件/ITU/IMT-2030推进组
6G通信感知一体化,场景与关键能力,通信与感知,中游空口,5,core,无需上下文；领域锚点本身只给低分,两份附件/ITU/IMT-2030推进组
6G通感一体化,场景与关键能力,通信与感知,中游空口,5,core,无需上下文；领域锚点本身只给低分,两份附件/ITU/IMT-2030推进组
6G通感融合,场景与关键能力,通信与感知,中游空口,5,core,无需上下文；领域锚点本身只给低分,两份附件/ITU/IMT-2030推进组
6G ISAC,场景与关键能力,通信与感知,中游空口,5,core,无需上下文；领域锚点本身只给低分,两份附件/ITU/IMT-2030推进组
IMT-2030通感,场景与关键能力,通信与感知,中游空口,5,core,无需上下文；领域锚点本身只给低分,两份附件/ITU/IMT-2030推进组
6G感知服务,场景与关键能力,通信与感知,中游空口,5,core,无需上下文；领域锚点本身只给低分,两份附件/ITU/IMT-2030推进组
Tbps峰值速率,场景与关键能力,性能指标,中游系统,3,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,两份附件/ITU
太比特每秒通信,场景与关键能力,性能指标,中游系统,3,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,两份附件/ITU
Gbps体验速率,场景与关键能力,性能指标,中游系统,3,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,两份附件/ITU
亚毫秒级时延,场景与关键能力,性能指标,中游系统,3,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,两份附件/ITU
千万级连接,场景与关键能力,性能指标,中游系统,3,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,两份附件/ITU
七个九可靠性,场景与关键能力,性能指标,中游系统,3,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,两份附件/ITU
厘米级感知精度,场景与关键能力,性能指标,中游系统,3,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,两份附件/ITU
毫米级感知精度,场景与关键能力,性能指标,中游系统,3,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,两份附件/ITU
每立方米连接密度,场景与关键能力,性能指标,中游系统,3,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,两份附件/ITU
超高流量密度,场景与关键能力,性能指标,中游系统,3,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,两份附件/ITU
6G太赫兹通信,频谱与传播,太赫兹通信,中游空口,5,core,无需上下文；领域锚点本身只给低分,两份附件/ITU
6G太赫兹系统,频谱与传播,太赫兹通信,中游空口,5,core,无需上下文；领域锚点本身只给低分,两份附件/ITU
6G THz通信,频谱与传播,太赫兹通信,中游空口,5,core,无需上下文；领域锚点本身只给低分,两份附件/ITU
IMT-2030太赫兹,频谱与传播,太赫兹通信,中游空口,5,core,无需上下文；领域锚点本身只给低分,两份附件/ITU
6G亚太赫兹通信,频谱与传播,太赫兹通信,中游空口,5,core,无需上下文；领域锚点本身只给低分,两份附件/ITU
6G次太赫兹通信,频谱与传播,太赫兹通信,中游空口,5,core,无需上下文；领域锚点本身只给低分,两份附件/ITU
太赫兹通信,频谱与传播,太赫兹通用词,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,两份附件/ITU/科研论文
太赫兹无线传输,频谱与传播,太赫兹通用词,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,两份附件/ITU/科研论文
THz通信,频谱与传播,太赫兹通用词,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,两份附件/ITU/科研论文
亚太赫兹通信,频谱与传播,太赫兹通用词,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,两份附件/ITU/科研论文
次太赫兹通信,频谱与传播,太赫兹通用词,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,两份附件/ITU/科研论文
Sub-THz通信,频谱与传播,太赫兹通用词,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,两份附件/ITU/科研论文
毫米波太赫兹融合,频谱与传播,太赫兹通用词,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,两份附件/ITU/科研论文
0.1至10THz,频谱与传播,太赫兹通用词,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,两份附件/ITU/科研论文
100GHz以上通信,频谱与传播,太赫兹通用词,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,两份附件/ITU/科研论文
D波段通信,频谱与传播,太赫兹通用词,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,两份附件/ITU/科研论文
G波段通信,频谱与传播,太赫兹通用词,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,两份附件/ITU/科研论文
6G中高频融合,频谱与传播,中高频融合,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,两份附件/IMT-2030推进组
6G多频段融合,频谱与传播,中高频融合,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,两份附件/IMT-2030推进组
6G全频谱融合,频谱与传播,中高频融合,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,两份附件/IMT-2030推进组
低中高全频谱,频谱与传播,中高频融合,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,两份附件/IMT-2030推进组
厘米波毫米波太赫兹融合,频谱与传播,中高频融合,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,两份附件/IMT-2030推进组
Sub-6GHz与太赫兹协同,频谱与传播,中高频融合,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,两份附件/IMT-2030推进组
中频段与高频段协同,频谱与传播,中高频融合,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,两份附件/IMT-2030推进组
多频段协同传输,频谱与传播,中高频融合,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,两份附件/IMT-2030推进组
频谱动态聚合,频谱与传播,中高频融合,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,两份附件/IMT-2030推进组
跨频段联合传输,频谱与传播,中高频融合,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,两份附件/IMT-2030推进组
6G可见光通信,频谱与传播,可见光与光无线,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,工信部推进组报告/科研论文
6G光无线通信,频谱与传播,可见光与光无线,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,工信部推进组报告/科研论文
可见光通信,频谱与传播,可见光与光无线,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,工信部推进组报告/科研论文
VLC通信,频谱与传播,可见光与光无线,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,工信部推进组报告/科研论文
LiFi,频谱与传播,可见光与光无线,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,工信部推进组报告/科研论文
光无线通信,频谱与传播,可见光与光无线,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,工信部推进组报告/科研论文
自由空间光通信,频谱与传播,可见光与光无线,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,工信部推进组报告/科研论文
FSO通信,频谱与传播,可见光与光无线,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,工信部推进组报告/科研论文
红外无线通信,频谱与传播,可见光与光无线,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,工信部推进组报告/科研论文
紫外无线通信,频谱与传播,可见光与光无线,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,工信部推进组报告/科研论文
水下可见光通信,频谱与传播,可见光与光无线,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,工信部推进组报告/科研论文
光射频融合通信,频谱与传播,可见光与光无线,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,工信部推进组报告/科研论文
6G信道模型,频谱与传播,信道测量与建模,中游算法,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,两份附件/ITU
6G信道测量,频谱与传播,信道测量与建模,中游算法,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,两份附件/ITU
太赫兹信道测量,频谱与传播,信道测量与建模,中游算法,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,两份附件/ITU
太赫兹信道建模,频谱与传播,信道测量与建模,中游算法,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,两份附件/ITU
高频信道探测,频谱与传播,信道测量与建模,中游算法,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,两份附件/ITU
空天地信道模型,频谱与传播,信道测量与建模,中游算法,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,两份附件/ITU
星地信道模型,频谱与传播,信道测量与建模,中游算法,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,两份附件/ITU
近场信道建模,频谱与传播,信道测量与建模,中游算法,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,两份附件/ITU
非平稳信道建模,频谱与传播,信道测量与建模,中游算法,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,两份附件/ITU
稀疏多径信道,频谱与传播,信道测量与建模,中游算法,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,两份附件/ITU
分子吸收损耗,频谱与传播,信道测量与建模,中游算法,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,两份附件/ITU
雨衰建模,频谱与传播,信道测量与建模,中游算法,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,两份附件/ITU
遮挡传播模型,频谱与传播,信道测量与建模,中游算法,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,两份附件/ITU
三维空间信道模型,频谱与传播,信道测量与建模,中游算法,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,两份附件/ITU
近场通信感知,频谱与传播,近场与新传播特性,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,科研机构/公开论文
电磁近场传输,频谱与传播,近场与新传播特性,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,科研机构/公开论文
球面波信道,频谱与传播,近场与新传播特性,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,科研机构/公开论文
近场波束聚焦,频谱与传播,近场与新传播特性,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,科研机构/公开论文
近场波束赋形,频谱与传播,近场与新传播特性,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,科研机构/公开论文
空间非平稳性,频谱与传播,近场与新传播特性,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,科研机构/公开论文
波束偏斜,频谱与传播,近场与新传播特性,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,科研机构/公开论文
波束分裂效应,频谱与传播,近场与新传播特性,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,科研机构/公开论文
远近场联合传输,频谱与传播,近场与新传播特性,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,科研机构/公开论文
瑞利距离扩展,频谱与传播,近场与新传播特性,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,科研机构/公开论文
超大孔径近场,频谱与传播,近场与新传播特性,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,科研机构/公开论文
6G统一编译码架构,增强型无线空口,统一调制编码,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,工信部推进组报告
6G调制编码,增强型无线空口,统一调制编码,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,工信部推进组报告
统一信道编码,增强型无线空口,统一调制编码,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,工信部推进组报告
统一编译码,增强型无线空口,统一调制编码,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,工信部推进组报告
自适应调制编码6G,增强型无线空口,统一调制编码,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,工信部推进组报告
多场景编码,增强型无线空口,统一调制编码,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,工信部推进组报告
短码长高可靠编码,增强型无线空口,统一调制编码,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,工信部推进组报告
高吞吐量译码,增强型无线空口,统一调制编码,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,工信部推进组报告
低复杂度译码,增强型无线空口,统一调制编码,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,工信部推进组报告
6G极化码,增强型无线空口,信道编码,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,工信部推进组报告/科研论文
Polar码6G,增强型无线空口,信道编码,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,工信部推进组报告/科研论文
准循环LDPC,增强型无线空口,信道编码,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,工信部推进组报告/科研论文
QC-LDPC,增强型无线空口,信道编码,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,工信部推进组报告/科研论文
6G LDPC,增强型无线空口,信道编码,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,工信部推进组报告/科研论文
喷泉码无线,增强型无线空口,信道编码,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,工信部推进组报告/科研论文
稀疏图码,增强型无线空口,信道编码,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,工信部推进组报告/科研论文
神经信道编码,增强型无线空口,信道编码,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,工信部推进组报告/科研论文
语义信道编码,增强型无线空口,信道编码,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,工信部推进组报告/科研论文
短包编码,增强型无线空口,信道编码,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,工信部推进组报告/科研论文
无率码6G,增强型无线空口,信道编码,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,工信部推进组报告/科研论文
6G新型波形,增强型无线空口,新波形,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,工信部推进组报告/科研论文
变换域波形,增强型无线空口,新波形,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,工信部推进组报告/科研论文
OTFS,增强型无线空口,新波形,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,工信部推进组报告/科研论文
正交时频空间调制,增强型无线空口,新波形,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,工信部推进组报告/科研论文
AFDM,增强型无线空口,新波形,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,工信部推进组报告/科研论文
仿射频分复用,增强型无线空口,新波形,中游空口,4,contextual,需6G/IMT-2030上下文，或至少三个独立6G候选技术簇同时成立,工信部推进组报告/科研论文
