关键词,技术领域,细分方向,产业板块,核心程度得分,匹配类型,上下文要求,来源类型,来源说明,来源链接,报告技术路线
设计-构建-测试-学习,生物制造基础,DBTL工程闭环,技术平台,5,core,无需上下文,两份报告直接词/公开资本研报补充,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
设计—构建—测试—学习,生物制造基础,DBTL工程闭环,技术平台,5,core,无需上下文,两份报告直接词/公开资本研报补充,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
设计构建测试学习,生物制造基础,DBTL工程闭环,技术平台,5,core,无需上下文,两份报告直接词/公开资本研报补充,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
DBTL,生物制造基础,DBTL工程闭环,技术平台,5,core,无需上下文,两份报告直接词/公开资本研报补充,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
DBTL循环,生物制造基础,DBTL工程闭环,技术平台,5,core,无需上下文,两份报告直接词/公开资本研报补充,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
DBTL闭环,生物制造基础,DBTL工程闭环,技术平台,5,core,无需上下文,两份报告直接词/公开资本研报补充,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
生物工程闭环,生物制造基础,DBTL工程闭环,技术平台,5,core,无需上下文,两份报告直接词/公开资本研报补充,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
设计构建工作循环,生物制造基础,DBTL工程闭环,技术平台,5,core,无需上下文,两份报告直接词/公开资本研报补充,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
生物铸造厂,生物制造基础,生物铸造与自动化平台,技术平台,5,core,无需上下文,科研机构/资本研报补充,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
生物铸造平台,生物制造基础,生物铸造与自动化平台,技术平台,5,core,无需上下文,科研机构/资本研报补充,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
Biofoundry,生物制造基础,生物铸造与自动化平台,技术平台,5,core,无需上下文,科研机构/资本研报补充,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
合成生物自动化平台,生物制造基础,生物铸造与自动化平台,技术平台,5,core,无需上下文,科研机构/资本研报补充,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
自动化生物制造平台,生物制造基础,生物铸造与自动化平台,技术平台,5,core,无需上下文,科研机构/资本研报补充,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
自动化菌种构建平台,生物制造基础,生物铸造与自动化平台,技术平台,5,core,无需上下文,科研机构/资本研报补充,用户提供的两份生物制造相关报告,,前沿制造与基础支撑
虚拟细胞,计算设计与AI,虚拟细胞,底层工具,5,frontier,无需上下文,SETR/中科院公开进展,SETR 2026标注页41；中国科学院天津工业生物技术研究所虚拟细胞项目,https://www.tib.cas.cn/xwdt/mtsm/t_8142486.html,生物设计、读写与自动化工具
全细胞模型,计算设计与AI,虚拟细胞,底层工具,5,frontier,无需上下文,SETR/中科院公开进展,SETR 2026标注页41；中国科学院天津工业生物技术研究所虚拟细胞项目,https://www.tib.cas.cn/xwdt/mtsm/t_8142486.html,生物设计、读写与自动化工具
数字细胞,计算设计与AI,虚拟细胞,底层工具,5,frontier,无需上下文,SETR/中科院公开进展,SETR 2026标注页41；中国科学院天津工业生物技术研究所虚拟细胞项目,https://www.tib.cas.cn/xwdt/mtsm/t_8142486.html,生物设计、读写与自动化工具
细胞数字孪生,计算设计与AI,虚拟细胞,底层工具,5,frontier,无需上下文,SETR/中科院公开进展,SETR 2026标注页41；中国科学院天津工业生物技术研究所虚拟细胞项目,https://www.tib.cas.cn/xwdt/mtsm/t_8142486.html,生物设计、读写与自动化工具
细胞机理模型,计算设计与AI,虚拟细胞,底层工具,5,frontier,无需上下文,SETR/中科院公开进展,SETR 2026标注页41；中国科学院天津工业生物技术研究所虚拟细胞项目,https://www.tib.cas.cn/xwdt/mtsm/t_8142486.html,生物设计、读写与自动化工具
工业底盘细胞模型,计算设计与AI,虚拟细胞,底层工具,5,frontier,无需上下文,SETR/中科院公开进展,SETR 2026标注页41；中国科学院天津工业生物技术研究所虚拟细胞项目,https://www.tib.cas.cn/xwdt/mtsm/t_8142486.html,生物设计、读写与自动化工具
机理模型与人工智能双驱动,计算设计与AI,虚拟细胞,底层工具,5,frontier,无需上下文,SETR/中科院公开进展,SETR 2026标注页41；中国科学院天津工业生物技术研究所虚拟细胞项目,https://www.tib.cas.cn/xwdt/mtsm/t_8142486.html,生物设计、读写与自动化工具
生成式生物学,计算设计与AI,生成式生物学,底层工具,5,frontier,无需上下文,SETR直接词/科研机构补充,SETR 2026标注页42,,生物设计、读写与自动化工具
生成生物学,计算设计与AI,生成式生物学,底层工具,5,frontier,无需上下文,SETR直接词/科研机构补充,SETR 2026标注页42,,生物设计、读写与自动化工具
基因组基础模型,计算设计与AI,生成式生物学,底层工具,5,frontier,无需上下文,SETR直接词/科研机构补充,SETR 2026标注页42,,生物设计、读写与自动化工具
基因组大模型,计算设计与AI,生成式生物学,底层工具,5,frontier,无需上下文,SETR直接词/科研机构补充,SETR 2026标注页42,,生物设计、读写与自动化工具
DNA基础模型,计算设计与AI,生成式生物学,底层工具,5,frontier,无需上下文,SETR直接词/科研机构补充,SETR 2026标注页42,,生物设计、读写与自动化工具
生物基础模型,计算设计与AI,生成式生物学,底层工具,5,frontier,无需上下文,SETR直接词/科研机构补充,SETR 2026标注页42,,生物设计、读写与自动化工具
Evo 2,计算设计与AI,生成式生物学,底层工具,5,frontier,无需上下文,SETR直接词/科研机构补充,SETR 2026标注页42,,生物设计、读写与自动化工具
Evo2,计算设计与AI,生成式生物学,底层工具,5,frontier,无需上下文,SETR直接词/科研机构补充,SETR 2026标注页42,,生物设计、读写与自动化工具
蛋白质基础模型,计算设计与AI,蛋白与抗体基础模型,底层工具,4,contextual,需生物工程与生产制造上下文,SETR直接词/科研机构补充,SETR 2026标注页41—42；需生产制造上下文以排除一般药物发现,,生物设计、读写与自动化工具
蛋白质大模型,计算设计与AI,蛋白与抗体基础模型,底层工具,4,contextual,需生物工程与生产制造上下文,SETR直接词/科研机构补充,SETR 2026标注页41—42；需生产制造上下文以排除一般药物发现,,生物设计、读写与自动化工具
抗体基础模型,计算设计与AI,蛋白与抗体基础模型,底层工具,4,contextual,需生物工程与生产制造上下文,SETR直接词/科研机构补充,SETR 2026标注页41—42；需生产制造上下文以排除一般药物发现,,生物设计、读写与自动化工具
抗体生成模型,计算设计与AI,蛋白与抗体基础模型,底层工具,4,contextual,需生物工程与生产制造上下文,SETR直接词/科研机构补充,SETR 2026标注页41—42；需生产制造上下文以排除一般药物发现,,生物设计、读写与自动化工具
计算生物学设计,计算设计与AI,生物计算设计,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/公开资本研报补充,用户提供的两份生物制造相关报告,https://tib.cas.cn/rcdw/rczp/zyjszp/t_8227670.html,生物设计、读写与自动化工具
菌种计算设计,计算设计与AI,生物计算设计,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/公开资本研报补充,用户提供的两份生物制造相关报告,https://tib.cas.cn/rcdw/rczp/zyjszp/t_8227670.html,生物设计、读写与自动化工具
菌种从头设计,计算设计与AI,生物计算设计,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/公开资本研报补充,用户提供的两份生物制造相关报告,https://tib.cas.cn/rcdw/rczp/zyjszp/t_8227670.html,生物设计、读写与自动化工具
细胞工厂计算设计,计算设计与AI,生物计算设计,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/公开资本研报补充,用户提供的两份生物制造相关报告,https://tib.cas.cn/rcdw/rczp/zyjszp/t_8227670.html,生物设计、读写与自动化工具
计算辅助生物设计,计算设计与AI,生物计算设计,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/公开资本研报补充,用户提供的两份生物制造相关报告,https://tib.cas.cn/rcdw/rczp/zyjszp/t_8227670.html,生物设计、读写与自动化工具
生物系统计算设计,计算设计与AI,生物计算设计,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/公开资本研报补充,用户提供的两份生物制造相关报告,https://tib.cas.cn/rcdw/rczp/zyjszp/t_8227670.html,生物设计、读写与自动化工具
生物CAD,计算设计与AI,生物计算设计,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/公开资本研报补充,用户提供的两份生物制造相关报告,https://tib.cas.cn/rcdw/rczp/zyjszp/t_8227670.html,生物设计、读写与自动化工具
代谢途径计算设计,计算设计与AI,生物计算设计,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/公开资本研报补充,用户提供的两份生物制造相关报告,https://tib.cas.cn/rcdw/rczp/zyjszp/t_8227670.html,生物设计、读写与自动化工具
生物线路计算设计,计算设计与AI,生物计算设计,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/公开资本研报补充,用户提供的两份生物制造相关报告,https://tib.cas.cn/rcdw/rczp/zyjszp/t_8227670.html,生物设计、读写与自动化工具
AI蛋白质设计,计算设计与AI,AI蛋白与酶设计,底层工具,4,contextual,需生物工程与生产制造上下文,SETR/科研机构/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
人工智能蛋白质设计,计算设计与AI,AI蛋白与酶设计,底层工具,4,contextual,需生物工程与生产制造上下文,SETR/科研机构/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
AI酶设计,计算设计与AI,AI蛋白与酶设计,底层工具,4,contextual,需生物工程与生产制造上下文,SETR/科研机构/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
酶智能设计,计算设计与AI,AI蛋白与酶设计,底层工具,4,contextual,需生物工程与生产制造上下文,SETR/科研机构/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
蛋白质从头设计,计算设计与AI,AI蛋白与酶设计,底层工具,4,contextual,需生物工程与生产制造上下文,SETR/科研机构/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
抗体从头设计,计算设计与AI,AI蛋白与酶设计,底层工具,4,contextual,需生物工程与生产制造上下文,SETR/科研机构/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
生成式蛋白质设计,计算设计与AI,AI蛋白与酶设计,底层工具,4,contextual,需生物工程与生产制造上下文,SETR/科研机构/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
蛋白质序列生成,计算设计与AI,AI蛋白与酶设计,底层工具,4,contextual,需生物工程与生产制造上下文,SETR/科研机构/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
蛋白结构预测,计算设计与AI,AI蛋白与酶设计,底层工具,4,contextual,需生物工程与生产制造上下文,SETR/科研机构/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
酶功能预测,计算设计与AI,AI蛋白与酶设计,底层工具,4,contextual,需生物工程与生产制造上下文,SETR/科研机构/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
系统生物学,计算设计与AI,多组学与系统建模,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/公开资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
定量生物学,计算设计与AI,多组学与系统建模,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/公开资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
多组学分析,计算设计与AI,多组学与系统建模,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/公开资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
基因组学,计算设计与AI,多组学与系统建模,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/公开资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
转录组学,计算设计与AI,多组学与系统建模,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/公开资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
蛋白质组学,计算设计与AI,多组学与系统建模,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/公开资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
代谢组学,计算设计与AI,多组学与系统建模,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/公开资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
代谢网络模型,计算设计与AI,多组学与系统建模,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/公开资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
代谢调控网络,计算设计与AI,多组学与系统建模,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/公开资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
基因调控网络,计算设计与AI,多组学与系统建模,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/公开资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
基因型-表型,计算设计与AI,多组学与系统建模,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/公开资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
基因型－表型,计算设计与AI,多组学与系统建模,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/公开资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
生物知识图谱,计算设计与AI,多组学与系统建模,底层工具,4,contextual,需生物工程与生产制造上下文,中科院/公开资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
基因测序,DNA/RNA读写编辑,基因测序,底层工具,4,contextual,需生物工程与生产制造上下文,两份报告直接词/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
DNA测序,DNA/RNA读写编辑,基因测序,底层工具,4,contextual,需生物工程与生产制造上下文,两份报告直接词/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
高通量测序,DNA/RNA读写编辑,基因测序,底层工具,4,contextual,需生物工程与生产制造上下文,两份报告直接词/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
下一代测序,DNA/RNA读写编辑,基因测序,底层工具,4,contextual,需生物工程与生产制造上下文,两份报告直接词/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
纳米孔测序,DNA/RNA读写编辑,基因测序,底层工具,4,contextual,需生物工程与生产制造上下文,两份报告直接词/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
长读长测序,DNA/RNA读写编辑,基因测序,底层工具,4,contextual,需生物工程与生产制造上下文,两份报告直接词/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
单分子测序,DNA/RNA读写编辑,基因测序,底层工具,4,contextual,需生物工程与生产制造上下文,两份报告直接词/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
便携式DNA测序,DNA/RNA读写编辑,基因测序,底层工具,4,contextual,需生物工程与生产制造上下文,两份报告直接词/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
NGS,DNA/RNA读写编辑,基因测序,底层工具,4,contextual,需生物工程与生产制造上下文,两份报告直接词/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
基因合成,DNA/RNA读写编辑,基因合成,底层工具,4,contextual,需生物工程与生产制造上下文,两份报告直接词/科研机构补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
DNA合成,DNA/RNA读写编辑,基因合成,底层工具,4,contextual,需生物工程与生产制造上下文,两份报告直接词/科研机构补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
DNA从头合成,DNA/RNA读写编辑,基因合成,底层工具,4,contextual,需生物工程与生产制造上下文,两份报告直接词/科研机构补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
寡核苷酸合成,DNA/RNA读写编辑,基因合成,底层工具,4,contextual,需生物工程与生产制造上下文,两份报告直接词/科研机构补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
酶促DNA合成,DNA/RNA读写编辑,基因合成,底层工具,4,contextual,需生物工程与生产制造上下文,两份报告直接词/科研机构补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
大规模DNA合成,DNA/RNA读写编辑,基因合成,底层工具,4,contextual,需生物工程与生产制造上下文,两份报告直接词/科研机构补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
超高密度DNA合成,DNA/RNA读写编辑,基因合成,底层工具,4,contextual,需生物工程与生产制造上下文,两份报告直接词/科研机构补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
DNA组装,DNA/RNA读写编辑,基因合成,底层工具,4,contextual,需生物工程与生产制造上下文,两份报告直接词/科研机构补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
基因组装,DNA/RNA读写编辑,基因合成,底层工具,4,contextual,需生物工程与生产制造上下文,两份报告直接词/科研机构补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
基因组合成,DNA/RNA读写编辑,基因合成,底层工具,4,contextual,需生物工程与生产制造上下文,两份报告直接词/科研机构补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
合成基因组,DNA/RNA读写编辑,基因合成,底层工具,4,contextual,需生物工程与生产制造上下文,两份报告直接词/科研机构补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
人工合成基因组,DNA/RNA读写编辑,基因合成,底层工具,4,contextual,需生物工程与生产制造上下文,两份报告直接词/科研机构补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
基因编辑,DNA/RNA读写编辑,基因与基因组编辑,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
基因组编辑,DNA/RNA读写编辑,基因与基因组编辑,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
CRISPR,DNA/RNA读写编辑,基因与基因组编辑,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
CRISPR/Cas,DNA/RNA读写编辑,基因与基因组编辑,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
CRISPR-Cas9,DNA/RNA读写编辑,基因与基因组编辑,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
碱基编辑,DNA/RNA读写编辑,基因与基因组编辑,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
先导编辑,DNA/RNA读写编辑,基因与基因组编辑,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
TALEN,DNA/RNA读写编辑,基因与基因组编辑,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
MAGE,DNA/RNA读写编辑,基因与基因组编辑,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
多重基因组编辑,DNA/RNA读写编辑,基因与基因组编辑,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
基因敲除,DNA/RNA读写编辑,基因与基因组编辑,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
基因敲入,DNA/RNA读写编辑,基因与基因组编辑,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
定点突变,DNA/RNA读写编辑,基因与基因组编辑,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
定向突变,DNA/RNA读写编辑,基因与基因组编辑,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
RNA调控装置,DNA/RNA读写编辑,RNA工程,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
RNA开关,DNA/RNA读写编辑,RNA工程,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
核糖开关,DNA/RNA读写编辑,RNA工程,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
RNA编辑,DNA/RNA读写编辑,RNA工程,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
合成RNA,DNA/RNA读写编辑,RNA工程,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
非编码RNA调控,DNA/RNA读写编辑,RNA工程,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
mRNA设计,DNA/RNA读写编辑,RNA工程,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
转录后调控,DNA/RNA读写编辑,RNA工程,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
翻译调控,DNA/RNA读写编辑,RNA工程,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/支持扩展,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
DNA数据存储,DNA/RNA读写编辑,DNA存储与新型信息材料,应用产品,3,contextual,需生物工程与生产制造上下文,SETR直接词,SETR 2026标注页44、48—49,,生物设计、读写与自动化工具
DNA信息存储,DNA/RNA读写编辑,DNA存储与新型信息材料,应用产品,3,contextual,需生物工程与生产制造上下文,SETR直接词,SETR 2026标注页44、48—49,,生物设计、读写与自动化工具
合成DNA存储,DNA/RNA读写编辑,DNA存储与新型信息材料,应用产品,3,contextual,需生物工程与生产制造上下文,SETR直接词,SETR 2026标注页44、48—49,,生物设计、读写与自动化工具
DNA存储介质,DNA/RNA读写编辑,DNA存储与新型信息材料,应用产品,3,contextual,需生物工程与生产制造上下文,SETR直接词,SETR 2026标注页44、48—49,,生物设计、读写与自动化工具
DNA编码存储,DNA/RNA读写编辑,DNA存储与新型信息材料,应用产品,3,contextual,需生物工程与生产制造上下文,SETR直接词,SETR 2026标注页44、48—49,,生物设计、读写与自动化工具
DNA折纸,DNA/RNA读写编辑,DNA存储与新型信息材料,应用产品,3,contextual,需生物工程与生产制造上下文,SETR直接词,SETR 2026标注页44、48—49,,生物设计、读写与自动化工具
DNA纳米结构,DNA/RNA读写编辑,DNA存储与新型信息材料,应用产品,3,contextual,需生物工程与生产制造上下文,SETR直接词,SETR 2026标注页44、48—49,,生物设计、读写与自动化工具
生物元件,生物元件与线路,标准化生物元件,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
标准化生物元件,生物元件与线路,标准化生物元件,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
生物零件,生物元件与线路,标准化生物元件,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
BioBrick,生物元件与线路,标准化生物元件,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
BioBricks,生物元件与线路,标准化生物元件,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
元件库,生物元件与线路,标准化生物元件,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
表达元件库,生物元件与线路,标准化生物元件,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
启动子库,生物元件与线路,标准化生物元件,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
终止子库,生物元件与线路,标准化生物元件,底层工具,4,contextual,需生物工程与生产制造上下文,2024报告/资本研报补充,用户提供的两份生物制造相关报告,,生物设计、读写与自动化工具
